cluster_id,cluster_type,profile_ids,event_type,primary_asset_or_service,business_function,start_date,end_date,evidence_ids,evidence_count,anchor_evidence_id,anchor_source_type,evidence_strength,entity_summary,impact_keywords,cluster_summary,confidence_score,publishers,urls,last_updated
CL-000001,INCIDENT,SP-007,SECURITY_RANSOMWARE,UNKNOWN,Cybersecurity,2025-05-13,2025-05-13,"EV-2A849415F5,EV-2A849415F5,EV-2A849415F5,EV-2A849415F5",4,EV-2A849415F5,news,Strong,,ransomware,SECURITY_RANSOMWARE affecting UNKNOWN in Cybersecurity.,0.75,Resecurity,https://news.google.com/rss/articles/CBMiswFBVV95cUxPbHlJdTJCNmdZYzF5X3NRb0lYQ0pyeEE2TUVRdFd2SjZEZXE2ak53Vml2QTVSZFNKRnFoRGdJNXlXODRfNUwtSlFfLVNuMldkeXFySU02MDJmUzVtU0lmRWVYYjFKX19fWk9ScGJEVjhUVUpOZnZQQklXRXlSVjBxdEkyRjc3YklvZHk2dkR1SjBDWmVEbm1VaWliczAxS1k1M283VVhERENFQmd0SGdEUThraw?oc=5,2026-03-18T19:26:56
CL-000002,INCIDENT,SP-007,SECURITY_BREACH,UNKNOWN,Cybersecurity,2025-05-20,2025-05-20,"EV-B5C74B6E25,EV-B5C74B6E25",2,EV-B5C74B6E25,news,Medium,,breach,SECURITY_BREACH affecting UNKNOWN in Cybersecurity.,0.75,Procurement Magazine,https://news.google.com/rss/articles/CBMijwFBVV95cUxQeWNfb2VLTWRtNFUzVnF6OWw3b1FTVmZjODRUZzIxdmpNUkF1SS1pMWtvRDFOclZacDd6dnhSOF9aaEM3eHdMbThhMlJCeTR1V3FiN0RkcFNwTzZ4ZFkzVEFLQk80WkdNU0ROX0Voak9YNHhfR2VKckRmWG45Y3dkUFdyN1JYYUR5RlBmeHNRMA?oc=5,2026-03-18T19:26:56
CL-000003,INCIDENT,SP-009,OUTAGE_NETWORK,network,Network Infrastructure,2025-07-25,2025-07-25,EV-452E5B2938,1,EV-452E5B2938,news,Weak,,outage,OUTAGE_NETWORK affecting network in Network Infrastructure.,0.6,Reuters,https://news.google.com/rss/articles/CBMirAFBVV95cUxOTlJYQmNDd1kwVzFnVkZPNDRROVYzS1dtelZ5QWdQM01XR2FONXNvZ3RMeVEzUmFIYkNrTEg0TlQ0ZXZDLUhmOUdwSDNSTnhYbmdUXzUwclY0WmdWeHAydkV4aE1GZnpOaDVDQnFBNWNSYmlDbnV5RWxQdzg3OWp2djI4LXFOU2hUaGZSTDY0ME5hT0Y0SEY0dHFvSlRCTUhfNVlZOGpualZ4b01z?oc=5,2026-03-18T19:26:56
CL-000004,INCIDENT,SP-006,OUTAGE_IDENTITY,authentication,Identity & Access Management,2025-08-12,2025-08-12,"EV-043E09E3F8,EV-043E09E3F8",2,EV-043E09E3F8,news,Medium,,outage,OUTAGE_IDENTITY affecting authentication in Identity & Access Management.,0.75,Network World,https://news.google.com/rss/articles/CBMi3wFBVV95cUxONkpnWjQzdGNsSFBMVkdWTnc2OE5RU0k4eUZPSTU4MElnRlF4UERnY2ZXeW5mM0xQWjhCeVAyM09DZnFRSTRYOUp1R1dzWTZaenp4alpaUmE2Tm90QUhvWWc0U0Z5eDU5THRhTnpFeGplMGd5R2Vvbk0xRjFUWXFWaWYyTmpHRjZfcGQ1UHh3NndvZk1selJRS05jazg3bUtRZmxOUUZsZlFPYTAxQU1KWFZFVGFmbDlWVWdockVJSHkxTGtxeUJHcVc3aEVVT2dYbHhJV1VrelNKa3JjcUZj?oc=5,2026-03-18T19:26:56
CL-000005,INCIDENT,SP-009,OUTAGE_NETWORK,network,Network Infrastructure,2025-08-20,2025-08-20,"EV-B43901EC9F,EV-B43901EC9F",2,EV-B43901EC9F,news,Medium,,outage,OUTAGE_NETWORK affecting network in Network Infrastructure.,0.75,KOTA Territory News,https://news.google.com/rss/articles/CBMiqwFBVV95cUxOLUNCMVU4cV9lV0ItVjUwTkZtemRBN1NhWjc0N0E2OWZnNTZ4UjhnUGNERDZNWDVxMG9Ed1B3NGpOWEU0YXl4clF2Q2l6OHJaMURzSDZVbGFvdHdyMkZJblRrVmhQYk9rV3VFRTA0elIzdm5Jc3JsR2RCSjNsd2hYbVh2Q1Q4RWN3c1lCb21LNDJleWpUMkppZmFNTUJfN05ObmJ0ZkExNmlrMDDSAb8BQVVfeXFMTVpwNHdDWGNOVXI3dm95Unk0ZFA1bEVqZmJkdGdrelV5cV82T1hSNGxlR3FfcHJKaHoyN1NCNEw2VU1Jb2FkSk42TlZMcFhTRnJETnF4OGdXWEY3U254d3FNZmFJYk9NNS1oWTBIWk8wVWFMVjdNRG9YbzAzZFY2SjFOREZDbVkwV2MxMHpzYW13eDBNNzNlZzlZUnZobW52MjRINUFzb1FVVFlRMGljQmxPRFUxOXhCVUJwSDk3c2s?oc=5,2026-03-18T19:26:56
CL-000006,INCIDENT,SP-002,OUTAGE_APPLICATION,UNKNOWN,Order Processing,2025-08-28,2025-08-28,"EV-962567601C,EV-962567601C",2,EV-962567601C,news,Medium,,outage,OUTAGE_APPLICATION affecting UNKNOWN in Order Processing.,0.75,Clemson News,https://news.google.com/rss/articles/CBMisAFBVV95cUxOTHJyNXhHR1lZWl9JV2pfWENfRGcyUURUblNxUzhvTUNXRF9HamZBWTMycFRIaXgzNEpOWkRQMTJYVklzNk8ySXJXVF9ucTQwbkVCbHZ4cWpGMWJOZk1yam1keG13amJrbEZ2aUVPWGVULUFsV2tIZmx2cmlYdUdsYzZQMUhvdzAzN2IzMy1ZeGFvdWNFS19JQ0lMYW1STEdnNGtTSUU1em9mOFNYVjNTcA?oc=5,2026-03-18T19:26:56
CL-000007,INCIDENT,SP-014,CYBER_OPERATIONAL_DISRUPTION,UNKNOWN,IT Operations,2025-09-07,2025-09-07,EV-56E6C145FD,1,EV-56E6C145FD,news,Weak,,disruption,CYBER_OPERATIONAL_DISRUPTION affecting UNKNOWN in IT Operations.,0.65,The Guardian,https://news.google.com/rss/articles/CBMivwFBVV95cUxOWFhDWDJtMkwxdXVnLWxVazlKdnp4LWRpOGE3Wl9aR2Y0cGhzckpvN05Edm4zbnhDdmhVX3NrTnkwenh0aEhwUUFkaUZGbllQUG04aWpUVzRmT1Zod09PNjVxNXpkSWtWOXVER05DZGRiS0JKY2FiRzBtbVptZTlRbEdJUlJndjUyaGFNeG1PRC1IWDFpUEJCNVRjVVc1TXhMa093emNBZU9LSmxrazNQcl9VMm9SOHFlWWg3dDVQRQ?oc=5,2026-03-18T19:26:56
CL-000008,INCIDENT,SP-014,OUTAGE_APPLICATION,UNKNOWN,IT Operations,2025-09-17,2025-09-17,"EV-8614801AD0,EV-8614801AD0",2,EV-8614801AD0,news,Medium,,outage,OUTAGE_APPLICATION affecting UNKNOWN in IT Operations.,0.75,Industrial Cyber,https://news.google.com/rss/articles/CBMizgFBVV95cUxPRUYtX3hOZElrRk9ibEgybzVRR2prbDhndGl4VkYtQWU1OHlVeGdZNFFTMl9sMlZwVGlLdGlTRmk1bmdYVm1tbEdreFRqX0RkUzcwMWhhc1cxRzJaYmxtYzdHOGh4dnUtenVIU2dlM1dfQk1WdGQ0RlJVU2d6aVRlc05HZ1E3cExRTHlTUGZvX2JmYWRpaFlQTVFNeUlZNHVhenp5bFlwWVkxY0htLWg2dWtlQjYwVGpiMm9rb1ZzZGhaSE1lWGFGZVA4dWFmZw?oc=5,2026-03-18T19:26:56
CL-000009,INCIDENT,SP-014,CYBER_OPERATIONAL_DISRUPTION,UNKNOWN,IT Operations,2025-09-20,2025-09-20,EV-6D71DA62F2,1,EV-6D71DA62F2,news,Weak,,disruption,CYBER_OPERATIONAL_DISRUPTION affecting UNKNOWN in IT Operations.,0.65,Reuters,https://news.google.com/rss/articles/CBMipAFBVV95cUxOcUZzRDNUeDM4ZXhqUnlwbTlJaS1TUXhyM1A1ajVlNmZGdG40Y2daNGFSMHBSUTBGR2huZ3VrcC1hQ0E0aF9SVXhpS2FSTTUwVjhXYTNaY1ZxV0VqVjR1bjdmVW53SS14WUx3dzNfZ1FNNHRWa0wwa1g3bFNhYWE2Vl8wVzlic0hYcFhpWkJzVGxsOUhobm9fYl9kaG1aNFBKU2FINA?oc=5,2026-03-18T19:26:56
CL-000010,INCIDENT,SP-008,SECURITY_BREACH,UNKNOWN,Vendor Risk,2025-10-07,2025-10-07,EV-D10A03F6C6,1,EV-D10A03F6C6,news,Weak,,breach,SECURITY_BREACH affecting UNKNOWN in Vendor Risk.,0.75,Infosecurity Magazine,https://news.google.com/rss/articles/CBMigAFBVV95cUxNZGNfTWpyVTVMMFRkM0hvUHl0MHVOM2hNMlZyMTNncE1UdTMtRlRwMzZuU3ZqZkJETHR1ZFg3LWxFb05oYkJsdzlqUkpxY0JEd08xTk9mdEc1M25zOE5tdXFfai1JaUdGcVh6N3dqNFBDUGkwelRyLUVvbFRpZFctbQ?oc=5,2026-03-18T19:26:56
