risk_id,cluster_id,evidence_id,published_date,publisher,title,url,source_type,search_query,relevance_score,event_type_hint,entity_keywords,event_keywords,asset_keywords
RISK-SECURITY_RANSOMWARE-SYSTEMS-86771980,CL-000043,EV-52E1DB27D9,2025-10-08,Rescana,"Asahi Group Holdings Ransomware Attack 2025: Digital Order System Disrupted, Nationwide Beer Shortage in Japan - Rescana",https://news.google.com/rss/articles/CBMixgFBVV95cUxQNElqVjJiSGxRVW01Y1VrUTlLRkFBZksxb0Q2Tkoyd2xONFIxUWFybzJSX2pCZTRPN0VPWEFRYThqRjR2WEc1Z2pDZVRKaFpfRmtnbU9LSmQxd2ZpQ3Z6TVNUUXVueWlDTzdhQmhoZ0gyT3pBWHgwX1lsdlpFcENLLUJua2hxSDMyUHVuYnNqWV9sNGpkR1ZYT2QtTDJUUlV0R3p2WS16a3ZnQllRSjBrZzlmT2M5QzRBbFpnQkFHNE1VSGlDcnc?oc=5,news,"ransomware attack, logistics ransomware, ransomware supply chain, manufacturing ransomware",0.9,SECURITY_RANSOMWARE,,ransomware,system
RISK-OUTAGE_NETWORK-NETWORK-ED8652FB,CL-000047,EV-B0669977DC,2025-10-13,Inside Towers,Verizon Wireless Network Outage Affects a Number of U.S. Cities - Inside Towers,https://news.google.com/rss/articles/CBMikgFBVV95cUxOdnVSSE1vOVRCUU94ZDNpNGhETV9rb0pYNGtvNUNPNTViVFpZek0wN2pSQ041LVBGSEs3U2VXWFVySHFFd0RLUXBJT3lCVkM0enZUQUJRWGcyRjdxdk41Slh3VGZSY2VRLXNDRWtHeU9HZGJtQmpsNnBrU1FJUlo5QThsYmlJeFppNmh0Z1FDNVNlZw?oc=5,news,core network outage,0.7,OUTAGE_NETWORK,,outage,network
RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,CL-000061,EV-A866428D1D,2025-10-21,Reuters,Amazon says AWS cloud service back to normal after outage disrupts businesses worldwide - Reuters,https://news.google.com/rss/articles/CBMitwFBVV95cUxOeE4ycmlacV9XMzUzeE83dnZlcUV4c3RBNXJkMlhkSUxaTmhKQjNyV0dDbTJWRW9nUE8teU1MczY0dTZKUFVkSW9jNnJHVVFlQkhQNklXNlV0bkx1dy1STk9lZjM0ZE1JMVFnbmdzdGltRU1Wd21Nbm9GUDFqZmhpWmJGaER4ZGRxOFNfYzNvNmN6ZEFZYTdJVkdsdjRDbWZnRHlhbmh1NXpjdzFuNjBLeldkd3ZramM?oc=5,news,"compute service disruption,storage failure",0.8,OUTAGE_CLOUD_REGION,,outage,cloud
RISK-SECURITY_RANSOMWARE-UNKNOWN-B3810008,CL-000102,EV-B6E78CFC94,2025-12-11,Industrial Cyber,"Ransomware surge intensifies across industrial sectors, with manufacturing accounting for 72% of Q3 cases - Industrial Cyber",https://news.google.com/rss/articles/CBMi4AFBVV95cUxQcTFid1ZqV0dWajdoT0xDQW9teWtzdWhkV003QzRPb0xpS2lCX3FKWVc0VmtmMENwZ0NGRjRfWUdNTmRqNHlvaEhrbm1IV3JBMGFRQkxhX0VoOVZ4N1gxdG10X3lPYmVDemgybXU0d2ZoTldDMEhIN2ZsM2RzcjcwSUNoNldvYnFwZXZaMldCS0xZU256OWZwTnJLdmdTeVFkVV9OWDNLSm5QSVBwSzZVM3VZNnJWUXR0TmpaZmc3S3JqUnpxN21HaGotOVZFR0xXOUZTc3h5TWU0X2Npd2pKUA?oc=5,news,"ransomware attack, logistics ransomware, ransomware supply chain, manufacturing ransomware",0.75,SECURITY_RANSOMWARE,,ransomware,
RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,CL-000112,EV-E884874B82,2026-01-14,MedCity News,The Blast Radius Problem: What the 2025 AWS Outage Reveals About Healthcare’s Cloud Fragility - MedCity News,https://news.google.com/rss/articles/CBMiwgFBVV95cUxPV2dfcWRyaTdzeWI0bkM1bENjOV9qT1VzdzZKZzhWaHpSZWw0cnBsUXZ5bUo3YXAzdzNWS0F2dlo3Q2cyblBkQUZCdW43T2NBVHhtSld2Q3pxdlFTSVd3ZzZXMDZRd01FUVFTSGRTd01uZ2RPVThVUEtzRlItbGZKVlJ1SmkzQTBhbl9MOUNHSGVvaW83Z3NOZ0FaVG9vRUFSSWptYjNGUWlCV0oxNm4xLVUtMXZTcmNpZmVWNWQ2c2NtUQ?oc=5,news,cloud provider outage,0.7,OUTAGE_CLOUD_REGION,,outage,cloud
RISK-SECURITY_RANSOMWARE-UNKNOWN-B3810008,CL-000117,EV-E7524151EC,2026-01-16,Cyble,Ransomware Attacks and Supply Chain Threats in 2025 - Cyble,https://news.google.com/rss/articles/CBMifEFVX3lxTE1nd3FXR2xudE12X2dzODV2LWJVOVEtWkhsWUkxM3dEcDJYbVVGSjROT0YwYTdzTXZaNndRM213ZGQ5Y3E0bGdHb3ZMWjRfQzY5cjFDeHIyMnlzNFViUVFxM2RiY2ZzWVdiWFYwODhvLTBER184SlRVcng4Q2fSAXxBVV95cUxNZ3dxV0dsbnRNdl9nczg1di1iVTlRLVpIbFlJMTN3RHAyWG1VRko0Tk9GMGE3c012WjZ3UTNtd2RkOWNxNGxnR292TFo0X0M2OXIxQ3hyMjJ5czRVYlFRcTNkYmNmc1lXYlhWMDg4by0wREdfOEpUVXJ4OENn?oc=5,news,"ransomware attack, logistics ransomware, ransomware supply chain, manufacturing ransomware",0.75,SECURITY_RANSOMWARE,,ransomware,
RISK-OUTAGE_NETWORK-NETWORK-ED8652FB,CL-000121,EV-88FFECA46C,2026-01-20,Fierce Network,Verizon outage: Analysts and more weigh in - Fierce Network,https://news.google.com/rss/articles/CBMihAFBVV95cUxOXzRGZjdYTHNqcU1WOGdhSHgtWngxNmc2MTgxT0ltTGpETVZINjdjWU1paDhJOXFsckp5ZXlWTzdjS0JCbDI1ZF9CajV0MXU3Y0ZNU0pMbjV2Z2N3VWduUk5odlRSXzZSV1NnVzFmUkZaQVpINFM1eHotS2ZDalRrTTlrOFA?oc=5,news,core network outage,0.7,OUTAGE_NETWORK,,outage,network
RISK-OUTAGE_IDENTITY-LOGIN-1EAC82FB,CL-000127,EV-E2655ADAAE,2026-01-31,Meyka,ING Online Banking Outage: January 31 Login Issues Hit German Users - Meyka,https://news.google.com/rss/articles/CBMimwFBVV95cUxQSFhUUFhaSnRKaW14V2x5Z2xNOHg5WHdNQXUxNDVNMFgybnIycjR3blU2MU9ZV21SSUFaNzlOR0dxeUJISm9YdEhHSzJIQjE2M3NjbEJleDFxc3B3WTNkcHhFSUZQWVF6b01KQjlOX3hiaElKQmhUNUF2a004Z1Y4UFFZYzFRZVVyUUNTU2c0RngwU1hsT2Rmd1Faaw?oc=5,news,"authentication failure,login disruption",0.9,OUTAGE_IDENTITY,,outage,login
RISK-OUTAGE_IDENTITY-IDENTITY-18AA8247,CL-000130,EV-F20441A08C,2026-02-04,Network World,Azure outage disrupts VMs and identity services for over 10 hours - Network World,https://news.google.com/rss/articles/CBMitgFBVV95cUxPaExYeEtZdk5WZVo3Sl9GYVU0c3c2NTIxYVpEU0t1eFNGTnpnWV9xSjlIVERNNFZpMHJJcDR5NkJDVnhnRnk1ZFFiYXhQdlJOU3UxNnRxQlZ3anV1bE12dUJTdDdZVm1OX0Z2aUtmZ2U5M2laZ3ZYQ2Y4OVZFdE40V0hFa0RtQ083YjZ4R2ZKS0lWWnR6cGNQYTY2eS1qZE5nc04tWjg1TUREOTFXa3M0LXduUmRiZw?oc=5,news,"compute service disruption,storage failure",0.7,OUTAGE_IDENTITY,,outage,"identity,network"
RISK-OUTAGE_APPLICATION-SYSTEMS-E09C2A6D,CL-000145,EV-8D425CB4AD,"evidence_id
EV-8D425CB4AD    2026-02-27
EV-8D425CB4AD    2026-02-27
Name: published_date, dtype: str","evidence_id
EV-8D425CB4AD    findarticles.com
EV-8D425CB4AD    findarticles.com
Name: publisher, dtype: str","evidence_id
EV-8D425CB4AD    T‑Mobile outage hits T‑Life and internal suppo...
EV-8D425CB4AD    T‑Mobile outage hits T‑Life and internal suppo...
Name: title, dtype: str","evidence_id
EV-8D425CB4AD    https://news.google.com/rss/articles/CBMijwFBV...
EV-8D425CB4AD    https://news.google.com/rss/articles/CBMijwFBV...
Name: url, dtype: str","evidence_id
EV-8D425CB4AD    news
EV-8D425CB4AD    news
Name: source_type, dtype: str","evidence_id
EV-8D425CB4AD     carrier API outage
EV-8D425CB4AD    core network outage
Name: search_query, dtype: str","evidence_id
EV-8D425CB4AD    0.7
EV-8D425CB4AD    0.7
Name: relevance_score, dtype: float64","evidence_id
EV-8D425CB4AD    OUTAGE_APPLICATION
EV-8D425CB4AD    OUTAGE_APPLICATION
Name: event_type_hint, dtype: str","evidence_id
EV-8D425CB4AD   NaN
EV-8D425CB4AD   NaN
Name: entity_keywords, dtype: float64","evidence_id
EV-8D425CB4AD    outage
EV-8D425CB4AD    outage
Name: event_keywords, dtype: str","evidence_id
EV-8D425CB4AD    systems
EV-8D425CB4AD    systems
Name: asset_keywords, dtype: str"
