week,event_type,asset,signal_count
2026-W12,CYBER_OPERATIONAL_DISRUPTION,UNKNOWN,5
2026-W12,CYBER_OPERATIONAL_DISRUPTION,systems,1
2026-W12,DESTRUCTIVE_CYBER_ATTACK,endpoints,4
2026-W12,DESTRUCTIVE_CYBER_ATTACK,systems,7
2026-W12,OUTAGE_APPLICATION,UNKNOWN,49
2026-W12,OUTAGE_APPLICATION,endpoints,1
2026-W12,OUTAGE_APPLICATION,systems,5
2026-W12,OUTAGE_CLOUD_REGION,cloud,12
2026-W12,OUTAGE_CLOUD_REGION,region,1
2026-W12,OUTAGE_IDENTITY,identity,1
2026-W12,OUTAGE_IDENTITY,login,1
2026-W12,OUTAGE_NETWORK,network,5
2026-W12,REGULATORY_ENFORCEMENT,UNKNOWN,1
2026-W12,SECURITY_BREACH,UNKNOWN,19
2026-W12,SECURITY_RANSOMWARE,UNKNOWN,5
2026-W12,SECURITY_RANSOMWARE,systems,1
2026-W12,UNKNOWN,UNKNOWN,65
2026-W12,UNKNOWN,cloud,6
2026-W12,UNKNOWN,erp,4
2026-W12,UNKNOWN,network,4
2026-W12,UNKNOWN,systems,5
2026-W12,UNKNOWN,wms,1
2026-W12,UNKNOWN,zone,1
