rank,risk_id,cluster_id,title,risk_category,business_function,event_type,primary_asset_or_service,score_used,likelihood_used,impact_used,risk_score_baseline,risk_score_adjusted,evidence_strength,confidence,internal_signals_used,internal_outage_refs,recommended_actions_top,framework_mapping,executive_summary,impact_narrative,evidence_count,start_date,end_date,publishers,urls_sample,impact_keywords,entity_summary,cluster_summary
1,RISK-SECURITY_RANSOMWARE-SYSTEMS-86771980,CL-000046,Ransomware disrupts operations and recovery capabilities,Cyber,Cybersecurity,SECURITY_RANSOMWARE,systems,15,3,5,15,,Weak,High,False,,Harden privileged access | Immutable backups + frequent restore testing,NIST IR-4; NIST CP-9; NIST AC-2,"Risk signal (Weak): SECURITY_RANSOMWARE affecting systems in Cybersecurity. Evidence window: 2025-10-08 to 2025-10-08 across 1 source(s). Representative sources: Asahi Group Holdings Ransomware Attack 2025: Digital Order System Disrupted, Nationwide Beer Shortage in Japan - Rescana","SECURITY_RANSOMWARE affecting systems can disrupt Cybersecurity, causing operational delays and recovery complications.",1,2025-10-08,2025-10-08,Rescana,https://news.google.com/rss/articles/CBMixgFBVV95cUxQNElqVjJiSGxRVW01Y1VrUTlLRkFBZksxb0Q2Tkoyd2xONFIxUWFybzJSX2pCZTRPN0VPWEFRYThqRjR2WEc1Z2pDZVRKaFpfRmtnbU9LSmQxd2ZpQ3Z6TVNUUXVueWlDTzdhQmhoZ0gyT3pBWHgwX1lsdlpFcENLLUJua2hxSDMyUHVuYnNqWV9sNGpkR1ZYT2QtTDJUUlV0R3p2WS16a3ZnQllRSjBrZzlmT2M5QzRBbFpnQkFHNE1VSGlDcnc?oc=5,ransomware,,SECURITY_RANSOMWARE affecting systems in Cybersecurity.
2,RISK-OUTAGE_APPLICATION-APPLICATIONS-3B65C7AF,CL-000055,Critical application outage disrupts business operations,Technology,Cloud Infrastructure,OUTAGE_APPLICATION,applications,12,3,4,12,,Medium,Medium,False,,Add high-availability design or failover | Improve monitoring and alerting,NIST CP-2; NIST CP-10; ISO22301 8.4,Risk signal (Medium): OUTAGE_APPLICATION affecting applications in Cloud Infrastructure. Evidence window: 2025-10-20 to 2025-10-20 across 2 source(s). Representative sources: AWS services recover after daylong outage hits major sites - CNBC | AWS services recover after daylong outage hits major sites - CNBC,"OUTAGE_APPLICATION affecting applications can disrupt Cloud Infrastructure, causing operational delays and recovery complications.",2,2025-10-20,2025-10-20,CNBC,https://news.google.com/rss/articles/CBMikwFBVV95cUxQVXZwNS1hVFpiNGJnblBnc0dHdUxFNjlmcC1UTDVEZFpBTWlrcFU5UnMtRVV5M2dBcjBpWVRfQzRiaF9YQ3ViYm1XLXZJTkY3VGc0dzhlSW5FeUxCSVprZXlqdVJEano0NVNpNVFGNzJGcVNjT3pnSWdLLUJMSGl3UGlqOTEyVEcxMWVxNDJ0aXB2OGfSAZgBQVVfeXFMT2txVXFrT25VbW9rVldPMWtvRXp4dFJZRWppSGxicFozbk5XVmZrUXVIbjljRzlTa0VaVXZBSEYzVVlqRzBCU1liaFo2WmpmV3FvRXo1SW5QWGowaXlwY1pvX2p0c3RaeE1raUhHV0tzZjBYaDh2dmJRemlXYjJzVS1CTjlval9nTmlJWW5fbXlVWDhOOFp2UmU?oc=5,outage,,OUTAGE_APPLICATION affecting applications in Cloud Infrastructure.
3,RISK-SECURITY_BREACH-UNKNOWN-BBF98AB6,CL-000192,Third-party breach increases data exposure and compliance risk,Cyber,Vendor Risk,SECURITY_BREACH,UNKNOWN,12,3,4,12,,Medium,Medium,False,,Strengthen third-party security requirements | Improve monitoring/detection,NIST AC-3; NIST SI-4; NIST SA-9,"Risk signal (Medium): SECURITY_BREACH affecting UNKNOWN in Vendor Risk. Evidence window: 2026-04-22 to 2026-04-22 across 2 source(s). Representative sources: Citizens, Frost blame vendor after data breach claim - American Banker | Citizens, Frost blame vendor after data breach claim - American Banker","SECURITY_BREACH affecting UNKNOWN can disrupt Vendor Risk, causing operational delays and recovery complications.",2,2026-04-22,2026-04-22,American Banker,https://news.google.com/rss/articles/CBMikAFBVV95cUxOeW11REFXUWtXLUhjMkp5RmJESUdIM0U1LVd6WVZINVB3SkZKWFo1QldvbGhlVmZqXzY3QzFJVXFWUkI1dlhpS0pzQjY5TV96eGdkeWxkdkZLbS1fd2J4R1I4c1kxQ1RMUnFMTkVPVDd2X1hQRlA2MDZjLW1vYUlFUnM1RHZlT3dxdjYxYk1hZnY?oc=5,breach,,SECURITY_BREACH affecting UNKNOWN in Vendor Risk.
4,RISK-SECURITY_BREACH-UNKNOWN-BBF98AB6,CL-000193,Third-party breach increases data exposure and compliance risk,Cyber,Vendor Risk,SECURITY_BREACH,UNKNOWN,12,3,4,12,,Medium,Medium,False,,Strengthen third-party security requirements | Improve monitoring/detection,NIST AC-3; NIST SI-4; NIST SA-9,Risk signal (Medium): SECURITY_BREACH affecting UNKNOWN in Vendor Risk. Evidence window: 2026-04-22 to 2026-04-22 across 2 source(s). Representative sources: Citizens Bank customers’ personal information compromised in data breach - WPRI.com | Citizens Bank customers’ personal information compromised in data breach - WPRI.com,"SECURITY_BREACH affecting UNKNOWN can disrupt Vendor Risk, causing operational delays and recovery complications.",2,2026-04-22,2026-04-22,WPRI.com,https://news.google.com/rss/articles/CBMioAFBVV95cUxNOVQwSV9xN283YVdYcnFqc3dUcjBVTUdid0VZN003QV9IN1pOM0VVS1VRUkQ0M1pSUGtDNEJ1UXByRXdBTjhwdkRkUVBwZEJOOUNxS2xKQWVuOW14SDlVT2VyRWtQd3MzTlJNN0NJanYtU05PY0xVVVhiSThQZXF2ckRXa2hjYmJQQnU2U2RaWEVHLW91M0kzdEQzMTFaeTVa0gGmAUFVX3lxTE9fdE5nSENBTnFLZDRIUGRsSGxMb211SXdSenRUSHN0LUd5bHRUR3FzQS1Ud2sxV0hKOXFDa1BObzRLS28tNmVMUmp5SVJ4SUxXR0VUTUE1VnQ0UG1mSDdyNmZJTXBDRkh5UmJ0aHBPa21od01zMjlJNHZURHVPaFhrd19MTHp3NWE2ZXZtWXlHdGxNZ3B5NGdGVTJNTFRGNTlVb1BzVXc?oc=5,breach,,SECURITY_BREACH affecting UNKNOWN in Vendor Risk.
5,RISK-SECURITY_BREACH-UNKNOWN-BBF98AB6,CL-000202,Third-party breach increases data exposure and compliance risk,Cyber,Vendor Risk,SECURITY_BREACH,UNKNOWN,12,3,4,12,,Medium,Medium,False,,Strengthen third-party security requirements | Improve monitoring/detection,NIST AC-3; NIST SI-4; NIST SA-9,Risk signal (Medium): SECURITY_BREACH affecting UNKNOWN in Vendor Risk. Evidence window: 2026-04-23 to 2026-04-23 across 2 source(s). Representative sources: Citizens Bank Customers Targeted in Third-Party Data Breach - PYMNTS.com | Citizens Bank Customers Targeted in Third-Party Data Breach - PYMNTS.com,"SECURITY_BREACH affecting UNKNOWN can disrupt Vendor Risk, causing operational delays and recovery complications.",2,2026-04-23,2026-04-23,PYMNTS.com,https://news.google.com/rss/articles/CBMipAFBVV95cUxQQnhROHlFNFBuOGJvb2FvVzdSLXc2dm16YUVESnBvc1NSUTFGR0I4Y2Fjb2FfX2EzV0ZQc1VsTDFqUVpLYlgzSTVnd3RJNERnbFluVzNzbUJDczE2cTVxY1hBVEtYbUQtd0NockNaRWNOTEFSYndGYnlJVG9VRG5hdmxCc2l2RkdWOGNsbTBSMzFKOVRCM2k5WV8zNjVWY0xFcTg5dQ?oc=5,breach,,SECURITY_BREACH affecting UNKNOWN in Vendor Risk.
6,RISK-OUTAGE_IDENTITY-LOGIN-1EAC82FB,CL-000186,Centralized identity/SSO outage disrupts workforce access,Technology,Identity & Access Management,OUTAGE_IDENTITY,login,12,3,4,12,,Weak,High,False,,Implement break-glass access for critical systems | Add synthetic login monitoring,NIST IA-2; NIST CP-2; ISO22301 8.4,Risk signal (Weak): OUTAGE_IDENTITY affecting login in Identity & Access Management. Evidence window: 2026-04-21 to 2026-04-21 across 1 source(s). Representative sources: Yahoo Mail faces widespread outage as users reports login failures and access issues - Storyboard18,"OUTAGE_IDENTITY affecting login can disrupt Identity & Access Management, causing operational delays and recovery complications.",1,2026-04-21,2026-04-21,Storyboard18,https://news.google.com/rss/articles/CBMiywFBVV95cUxPTWRoWGd3Uk8tQXB6c3JnZXNCYnBJZG11TDhXZk1YdWZPQTJ3UG4wM004cHc4WDNyRDJKeWdMSWFOM19aQ2UtN0xGd19fOTkydjhPTUw3N2JDUXpMYmFCVzZvUmFUVHpBalczXzdsc09keGpoeVl3TDVncnMtR3JWT3B2aHZySTN1SGdBQnZTcGN4em5GdE9hLVRjblNRVHlnR3Y5OVlsNXZrb0pxbGtoRGRoYjh2SWp3dlAycnl1RlJ3aGhpdG0wSmc0NNIB0AFBVV95cUxQd0ZRUHVNcjNfcWxSTktnSk5uOGtLQmRJeVplNjFtenk2MTJLbE0tejFOc2V6NVFMMFB6TVlSREpjUjFqRXhMZkpTRkNGS3Bvem5uU241YnRKQnctQmpBMUNZVGpQbnhmb1NWSUt4UkJUU0ZnejZ3aVRrbklOdkljX0NHUDlKU0I1OTJqMlZDaVp4SjAtTU02Xzc1YWVrWnh0bE1LYnByakMtVnkyTTZBeTlsbzBaN2FyWG93ZWliRmV1aDF6VGkxNl9YMHVqbVFI?oc=5,outage,,OUTAGE_IDENTITY affecting login in Identity & Access Management.
7,RISK-SECURITY_RANSOMWARE-UNKNOWN-B3810008,CL-000020,Ransomware disrupts operations and recovery capabilities,Cyber,Cybersecurity,SECURITY_RANSOMWARE,UNKNOWN,10,2,5,10,,Weak,Medium,False,,Harden privileged access | Immutable backups + frequent restore testing,NIST IR-4; NIST CP-9; NIST AC-2,Risk signal (Weak): SECURITY_RANSOMWARE affecting UNKNOWN in Cybersecurity. Evidence window: 2025-07-21 to 2025-07-21 across 1 source(s). Representative sources: Ransomware Shuts Down 158-Year-Old UK Logistics Firm - Halcyon,"SECURITY_RANSOMWARE affecting UNKNOWN can disrupt Cybersecurity, causing operational delays and recovery complications.",1,2025-07-21,2025-07-21,Halcyon,https://news.google.com/rss/articles/CBMihwFBVV95cUxOX2xEaEVrU2lrdTUwUDZCNDZfb1J1ck1Gd25vS0RyWWxUdnJXQl9sMTZxM0VHVEFzc3c0U3RSRVdrNEhUUi04LXNsTkVaMmM1ZkdxTVk0OTdqc0JucXAwYzU0Rk5DQU1PbW9WcVN4bW1hWmI3RWljSm5POGRRLXBoQ0liNHhEY3c?oc=5,ransomware,,SECURITY_RANSOMWARE affecting UNKNOWN in Cybersecurity.
8,RISK-SECURITY_RANSOMWARE-UNKNOWN-B3810008,CL-000088,Ransomware disrupts operations and recovery capabilities,Cyber,Cybersecurity,SECURITY_RANSOMWARE,UNKNOWN,10,2,5,10,,Weak,Medium,False,,Harden privileged access | Immutable backups + frequent restore testing,NIST IR-4; NIST CP-9; NIST AC-2,"Risk signal (Weak): SECURITY_RANSOMWARE affecting UNKNOWN in Cybersecurity. Evidence window: 2025-12-11 to 2025-12-11 across 1 source(s). Representative sources: Ransomware surge intensifies across industrial sectors, with manufacturing accounting for 72% of Q3 cases - Industrial Cyber","SECURITY_RANSOMWARE affecting UNKNOWN can disrupt Cybersecurity, causing operational delays and recovery complications.",1,2025-12-11,2025-12-11,Industrial Cyber,https://news.google.com/rss/articles/CBMi4AFBVV95cUxQcTFid1ZqV0dWajdoT0xDQW9teWtzdWhkV003QzRPb0xpS2lCX3FKWVc0VmtmMENwZ0NGRjRfWUdNTmRqNHlvaEhrbm1IV3JBMGFRQkxhX0VoOVZ4N1gxdG10X3lPYmVDemgybXU0d2ZoTldDMEhIN2ZsM2RzcjcwSUNoNldvYnFwZXZaMldCS0xZU256OWZwTnJLdmdTeVFkVV9OWDNLSm5QSVBwSzZVM3VZNnJWUXR0TmpaZmc3S3JqUnpxN21HaGotOVZFR0xXOUZTc3h5TWU0X2Npd2pKUA?oc=5,ransomware,,SECURITY_RANSOMWARE affecting UNKNOWN in Cybersecurity.
9,RISK-SECURITY_RANSOMWARE-UNKNOWN-B3810008,CL-000148,Ransomware disrupts operations and recovery capabilities,Cyber,Cybersecurity,SECURITY_RANSOMWARE,UNKNOWN,10,2,5,10,,Weak,Medium,False,,Harden privileged access | Immutable backups + frequent restore testing,NIST IR-4; NIST CP-9; NIST AC-2,Risk signal (Weak): SECURITY_RANSOMWARE affecting UNKNOWN in Cybersecurity. Evidence window: 2026-03-10 to 2026-03-10 across 1 source(s). Representative sources: Expanding ransomware reach intensifies sector-wide cyber exposure - Insurance Business,"SECURITY_RANSOMWARE affecting UNKNOWN can disrupt Cybersecurity, causing operational delays and recovery complications.",1,2026-03-10,2026-03-10,Insurance Business,https://news.google.com/rss/articles/CBMixgFBVV95cUxOdEZuSGZJX000T0FXbE1XQjkyX29EQUViRHAwMUJmcHJrZXlENFY2WWFhRHMxT0VwYkFmNURjaGJ0QlVUQUxaNEtHZjFiT3RVQ1hGSnBJdTJfZzV0VXB0VlpDRmVjTGZ4d2lSd0U1UWhPemNJYzE5N1JjNjBwZUFPUXV3RTFQTE84eWdldk1yVXVSN2JOZVlON0hTMWxyMFhkTlI5ODZCMVRrTHlUUGMzblJhTWFMLUVHdndQU2JpMUpKdnBNbEE?oc=5,ransomware,,SECURITY_RANSOMWARE affecting UNKNOWN in Cybersecurity.
10,RISK-SECURITY_RANSOMWARE-UNKNOWN-4C1818DC,CL-000187,Ransomware disrupts operations and recovery capabilities,Cyber,Vendor Risk,SECURITY_RANSOMWARE,UNKNOWN,10,2,5,10,,Weak,Medium,False,,Harden privileged access | Immutable backups + frequent restore testing,NIST IR-4; NIST CP-9; NIST AC-2,Risk signal (Weak): SECURITY_RANSOMWARE affecting UNKNOWN in Vendor Risk. Evidence window: 2026-04-21 to 2026-04-21 across 1 source(s). Representative sources: Data breach: Citizens flags limited customer impact after vendor data incident amid ransomware claims - InvestmentNews,"SECURITY_RANSOMWARE affecting UNKNOWN can disrupt Vendor Risk, causing operational delays and recovery complications.",1,2026-04-21,2026-04-21,InvestmentNews,https://news.google.com/rss/articles/CBMi7wFBVV95cUxQZGFYQm9fV040d1hQZ2w2aXpUNmZWR2pKSG1FYmhEbE5BZkgyd25HalFIYmp6a1B5bTJINWcxY29Wa004UzF0cFRLdm8tRUFVeGJ5c0FkQmhHelNHMWRudExndE41NmFXTlBNc1JPREl6M25JSzg1ZUhoQnBUbUFRUWNXUjNWVC13aWdGc25BaUYtbEZCdmVWOVFSNHg2MUh0ZUxEVzU3c0VnS3J1ZkpYeExXQ1dpMTFRZnBaQWN4TzAwcHFCQ0NGVkRmUTNnekFwNDRkdU9jNERjTU4zRmlPRWNzMEliSzBLb0tuMHZCWQ?oc=5,"breach,incident,ransomware",,SECURITY_RANSOMWARE affecting UNKNOWN in Vendor Risk.
