cluster_id,cluster_type,profile_ids,event_type,primary_asset_or_service,business_function,start_date,end_date,evidence_ids,evidence_count,anchor_evidence_id,anchor_source_type,evidence_strength,entity_summary,impact_keywords,cluster_summary,confidence_score,publishers,urls,last_updated
CL-000001,INCIDENT,SP-002,UNKNOWN,UNKNOWN,Order Processing,2017-03-25,2017-03-25,EV-988DE10CAF,1,EV-988DE10CAF,news,Weak,,,UNKNOWN affecting UNKNOWN in Order Processing.,0.5,Investopedia,https://news.google.com/rss/articles/CBMiZ0FVX3lxTE90U2FiX0NlQ2MxUWt3LWFDZ3Q5MzIxSnljeDdoSmJBd1RtZEdnX044amk5RDFCQlE0T2Q1QnR3VmdwdHdFVjVvS0pLbWxuR2lWRGhNQzhNRlp5cUNEQ1J2aE85TWEyQVk?oc=5,2026-04-28T15:39:16
CL-000002,INCIDENT,SP-002,UNKNOWN,erp,Order Processing,2017-03-26,2017-03-26,EV-03573FD089,1,EV-03573FD089,news,Weak,,,UNKNOWN affecting erp in Order Processing.,0.5,Investopedia,https://news.google.com/rss/articles/CBMiV0FVX3lxTE1MVGxaeFRmZUtyQUg0UURhZmlybDdScFZCc2ExOUhsalJ1ejVDVFR3ZFVrdTlkLWlPSXpid3VWV2VFdFg0RkJVMEF6b2ZHcWx3LVpzWmVocw?oc=5,2026-04-28T15:39:16
CL-000003,INCIDENT,SP-002,UNKNOWN,UNKNOWN,Order Processing,2017-03-26,2017-03-26,EV-973951BEEA,1,EV-973951BEEA,news,Weak,,,UNKNOWN affecting UNKNOWN in Order Processing.,0.5,Investopedia,https://news.google.com/rss/articles/CBMidEFVX3lxTE4xbWR0Y2VqNzlzQWtJTUh0eXRDNWVpQVZGOFVsZnRXd3pzdm1PeVlmdURsOHVoTWl4QlZBQlIwTmUxem83MzVpTDMtekhwTGgySjdqaVNOaUFjcVhRemJiVUFLOUN4TV9yZVdsT3dQOFNtdy1w?oc=5,2026-04-28T15:39:16
CL-000004,INCIDENT,SP-013,DESTRUCTIVE_CYBER_ATTACK,systems,Security Operations,2022-01-31,2022-01-31,EV-5D05C06EC2,1,EV-5D05C06EC2,news,Weak,,,DESTRUCTIVE_CYBER_ATTACK affecting systems in Security Operations.,0.5,CrowdStrike,https://news.google.com/rss/articles/CBMilwFBVV95cUxPZ3ZNM0VfZ2t4RDEwNXNnOHFINUpJeWEwaHZjRHhzcjZHYm5tdlFYbHJfX3BDUlFnWjNlNjNzcFBRMXRsWDRvRzhlZnQzaGEwZ0FpTTZXN0xiMXllTkh5QlJHSW1TR1hnTDlJeWpWcHZuN0hBaTdLUTFZRXVwS0RSSEE4WXA3STM4LWVRSy1ibExlWENIM0tV?oc=5,2026-04-28T15:39:16
CL-000005,INCIDENT,SP-001,UNKNOWN,systems,Distribution Operations,2022-03-31,2022-03-31,EV-88E2B03B9C,1,EV-88E2B03B9C,news,Weak,,,UNKNOWN affecting systems in Distribution Operations.,0.6,Restaurant Business,https://news.google.com/rss/articles/CBMinwFBVV95cUxQYUlVdWRjbF9sNjkwODJOa3pyZ2d2YlJHRS1LNDl3NWZvN3RTdDZhcHUyZUxoTWRZMkxaWnhQS19OSmZmTUhiM3FZelRxUlUwUmlqOEJiSWVza245aFByVUNMNmRXSExGY0RPaGdoS1NtYlF5TnBRbTlvWnhWZVZQVGxIcENCNGNud2pfWEJsZUdwT0NDWldtaTFBLS1XNmc?oc=5,2026-04-28T15:39:16
CL-000006,INCIDENT,SP-001,UNKNOWN,UNKNOWN,Distribution Operations,2023-01-03,2023-01-03,EV-974C2A6CFB,1,EV-974C2A6CFB,news,Weak,,,UNKNOWN affecting UNKNOWN in Distribution Operations.,0.5,Design World,https://news.google.com/rss/articles/CBMimgFBVV95cUxOeGV5Wi01anBXSlZlZE9EWVA2T01DZzNEbGdHTk5PeUJ1OHZuS2lXNDJqbkZWYjREamtUT21OQ3ctZm4tczgyWVhxQ2tEX0k1R1piaGY0RXd0YU90ZjhMSFhGaGJwTFVxOVV5TjhpU2hHZWVsOXNCeHVlT25LS1RSczVJQWx3OTVBaFdQQjQwMHg5ckNzYWpGZTJn?oc=5,2026-04-28T15:39:16
CL-000007,INCIDENT,SP-002,OUTAGE_CLOUD_REGION,cloud,Order Processing,2023-02-17,2023-02-17,EV-F3ADC70142,1,EV-F3ADC70142,news,Weak,,outage,OUTAGE_CLOUD_REGION affecting cloud in Order Processing.,0.6,Techzine Global,https://news.google.com/rss/articles/CBMinwFBVV95cUxPUFliS2Q0blEyWklPTm8xMk15OEdkbXRtYm1yWFotUHdLMkZVMTRZVUNfR0xKZkkyVktRbHpFZkpvWTRfVFVuTzFrVkNPc3FRbzlWUG5pSlhVUlJOUWNFbzhYdFBuVzZGMmFpVXgwYXNRRGd0Z2xCbzNRWmhaVnNScVdqbVg3T1RqZjlUSmFBYUdVV0NkdW02bmxhS2k0QWs?oc=5,2026-04-28T15:39:16
CL-000008,INCIDENT,SP-001,UNKNOWN,systems,Distribution Operations,2023-07-17,2023-07-17,EV-7B463F2F4A,1,EV-7B463F2F4A,news,Weak,,,UNKNOWN affecting systems in Distribution Operations.,0.6,Solutions Review,https://news.google.com/rss/articles/CBMisgFBVV95cUxOdEU2SXFlSkJVT0lPbEcxNk1CUHl5akpYTk10dWlYQ20tQThyMWgxbHJpakZieUNMOEpHbEV6amxzcC1kRGZaX3p1Z3IwekNVc1pMR3hyNW11MlRmbWhQM1dpUDJlRkVxbkhsanR0dl9DTGIxQ0FVOExPVnIyUGNReGR6aHRoNHhXT09lNnZ0bTFUcmRWUXhmUWVaSW1NMDloQTBsSVF0MEtydHhDZjdXeEFR?oc=5,2026-04-28T15:39:16
CL-000009,INCIDENT,SP-002,UNKNOWN,UNKNOWN,Order Processing,2023-11-16,2023-11-16,EV-9253C1B387,1,EV-9253C1B387,news,Weak,,,UNKNOWN affecting UNKNOWN in Order Processing.,0.5,army.mil,https://news.google.com/rss/articles/CBMiigFBVV95cUxOUnB2b0EwQ1lBZzVVSXp5RDhJbFFSOVhnc3VrZVJCZVBYbUFFajU2NnVlWkZ5N2pMamJZNFVZOHRNc1U1N2ZGMGVWTWlWZlY3bFdNTmQ1cnZQLUFsMmZLVHd0cmt4VE1Odkp1amdXVV9OTUoyYmE3S3hVR0xEYVdpWWZBS24wNWF3SlHSAY8BQVVfeXFMTnRKRE4xdDM5eVlQNzhpMVJ6Q3lmSlRsaDdqVGlfSGFOUnZWSFJuMzJ1RXpEQlNBSUhKQ1h0NC1UcHhFd0NPU1g3aFpjNGVKMzVyMmlhLTltaE1yYVRBQzExNExnazdvR1BsakVsNGI3WFg0QkY0SDdRT2NBN2JuNEpCY1RZQ241cEp0LWJoblE?oc=5,2026-04-28T15:39:16
CL-000010,INCIDENT,SP-001,UNKNOWN,UNKNOWN,Distribution Operations,2023-12-08,2023-12-08,EV-FBEB525C54,1,EV-FBEB525C54,news,Weak,,,UNKNOWN affecting UNKNOWN in Distribution Operations.,0.5,Indianapolis Business Journal,https://news.google.com/rss/articles/CBMihwFBVV95cUxNZHNLTFc3VnJKWVkwMnBqN0RqQjY3ZUZybm1rMTVJNmY4aV9CcjlqM2tib20wb3k2Q1k1c1B0X1NUaUNEd1Z4WFNybnBwNkpTSnRrbDNBNXZYODNreG1Ca1kxc0NkM3R5eTZJRks0WHBMcVlOZWZDX1pOc3FvTHRNUkN0a2twVGM?oc=5,2026-04-28T15:39:16
CL-000011,INCIDENT,SP-002,OUTAGE_APPLICATION,erp,Order Processing,2024-07-08,2024-07-08,EV-6219AB39F3,1,EV-6219AB39F3,news,Weak,,outage,OUTAGE_APPLICATION affecting erp in Order Processing.,0.8,ERP Today,https://news.google.com/rss/articles/CBMigAFBVV95cUxPSWJ3cWN3cUl0aDQ2ZmRVc28xYzhtN3dYSWxOMGZZUDJmRjNVLXJPajJkWFhlMGwwQTJKYk9UYUQ0amxVT25GTTBOUXpscjFUaFZUaFZDQ0V6Z2JiSUdMbkd2bVY2dkFtWTNrWXZ0dVk3VW5DTC1wdjFTUGQxOUN1aw?oc=5,2026-04-28T15:39:16
CL-000012,INCIDENT,SP-010,UNKNOWN,UNKNOWN,Physical Infrastructure,2024-11-25,2024-11-25,EV-32F57AAA7A,1,EV-32F57AAA7A,news,Weak,,,UNKNOWN affecting UNKNOWN in Physical Infrastructure.,0.5,Variety,https://news.google.com/rss/articles/CBMijgFBVV95cUxPb0VvMnNKLTZVc19rTEhmTnliTkFXcG1LWVhqd3ZSeURzZUtNMEpfbDVBQWJOM041UVhkN0N1ZGE5X0Y4V2VybXFOOWVaZDZoaXQ3S3dBb0JLNGlmRG54RzNmVjlxNjBRR2lmNmMyRndCeC1OTWpVcHI2SVJSM1pIV1dicTE0czhiaXJzSjZ3?oc=5,2026-04-28T15:39:16
