report_run_id,report_date,rank,risk_id,cluster_id,event_type,primary_asset_or_service,title,risk_category,business_function,score_used,likelihood_used,impact_used,evidence_strength,confidence,internal_signals_used,internal_outage_refs,recommended_actions_top,framework_mapping,executive_summary
fd762f16-c066-4027-9455-b1c176ef6bb4,2026-04-25,1,RISK-SECURITY_RANSOMWARE-SYSTEMS-86771980,CL-000052,SECURITY_RANSOMWARE,systems,Ransomware disrupts operations and recovery capabilities,Cyber,Cybersecurity,15,3,5,Weak,High,False,,Harden privileged access | Immutable backups + frequent restore testing,NIST IR-4; NIST CP-9; NIST AC-2,"Risk signal (Weak): SECURITY_RANSOMWARE affecting systems in Cybersecurity. Evidence window: 2025-10-08 to 2025-10-08 across 1 source(s). Representative sources: Asahi Group Holdings Ransomware Attack 2025: Digital Order System Disrupted, Nationwide Beer Shortage in Japan - Rescana"
fd762f16-c066-4027-9455-b1c176ef6bb4,2026-04-25,2,RISK-SECURITY_BREACH-UNKNOWN-BBF98AB6,CL-000195,SECURITY_BREACH,UNKNOWN,Third-party breach increases data exposure and compliance risk,Cyber,Vendor Risk,12,3,4,Medium,Medium,False,,Strengthen third-party security requirements | Improve monitoring/detection,NIST AC-3; NIST SI-4; NIST SA-9,"Risk signal (Medium): SECURITY_BREACH affecting UNKNOWN in Vendor Risk. Evidence window: 2026-04-22 to 2026-04-22 across 2 source(s). Representative sources: Citizens, Frost blame vendor after data breach claim - American Banker | Citizens, Frost blame vendor after data breach claim - American Banker"
fd762f16-c066-4027-9455-b1c176ef6bb4,2026-04-25,3,RISK-SECURITY_BREACH-UNKNOWN-BBF98AB6,CL-000196,SECURITY_BREACH,UNKNOWN,Third-party breach increases data exposure and compliance risk,Cyber,Vendor Risk,12,3,4,Medium,Medium,False,,Strengthen third-party security requirements | Improve monitoring/detection,NIST AC-3; NIST SI-4; NIST SA-9,Risk signal (Medium): SECURITY_BREACH affecting UNKNOWN in Vendor Risk. Evidence window: 2026-04-22 to 2026-04-22 across 2 source(s). Representative sources: Citizens Bank customers’ personal information compromised in data breach - WPRI.com | Citizens Bank customers’ personal information compromised in data breach - WPRI.com
fd762f16-c066-4027-9455-b1c176ef6bb4,2026-04-25,4,RISK-SECURITY_BREACH-UNKNOWN-BBF98AB6,CL-000205,SECURITY_BREACH,UNKNOWN,Third-party breach increases data exposure and compliance risk,Cyber,Vendor Risk,12,3,4,Medium,Medium,False,,Strengthen third-party security requirements | Improve monitoring/detection,NIST AC-3; NIST SI-4; NIST SA-9,Risk signal (Medium): SECURITY_BREACH affecting UNKNOWN in Vendor Risk. Evidence window: 2026-04-23 to 2026-04-23 across 2 source(s). Representative sources: Citizens Bank Customers Targeted in Third-Party Data Breach - PYMNTS.com | Citizens Bank Customers Targeted in Third-Party Data Breach - PYMNTS.com
fd762f16-c066-4027-9455-b1c176ef6bb4,2026-04-25,5,RISK-OUTAGE_IDENTITY-LOGIN-1EAC82FB,CL-000189,OUTAGE_IDENTITY,login,Centralized identity/SSO outage disrupts workforce access,Technology,Identity & Access Management,12,3,4,Weak,High,False,,Implement break-glass access for critical systems | Add synthetic login monitoring,NIST IA-2; NIST CP-2; ISO22301 8.4,Risk signal (Weak): OUTAGE_IDENTITY affecting login in Identity & Access Management. Evidence window: 2026-04-21 to 2026-04-21 across 1 source(s). Representative sources: Yahoo Mail faces widespread outage as users reports login failures and access issues - Storyboard18
fd762f16-c066-4027-9455-b1c176ef6bb4,2026-04-25,6,RISK-SECURITY_RANSOMWARE-UNKNOWN-B3810008,CL-000023,SECURITY_RANSOMWARE,UNKNOWN,Ransomware disrupts operations and recovery capabilities,Cyber,Cybersecurity,10,2,5,Weak,Medium,False,,Harden privileged access | Immutable backups + frequent restore testing,NIST IR-4; NIST CP-9; NIST AC-2,Risk signal (Weak): SECURITY_RANSOMWARE affecting UNKNOWN in Cybersecurity. Evidence window: 2025-07-21 to 2025-07-21 across 1 source(s). Representative sources: Ransomware Shuts Down 158-Year-Old UK Logistics Firm - Halcyon
fd762f16-c066-4027-9455-b1c176ef6bb4,2026-04-25,7,RISK-SECURITY_RANSOMWARE-UNKNOWN-B3810008,CL-000096,SECURITY_RANSOMWARE,UNKNOWN,Ransomware disrupts operations and recovery capabilities,Cyber,Cybersecurity,10,2,5,Weak,Medium,False,,Harden privileged access | Immutable backups + frequent restore testing,NIST IR-4; NIST CP-9; NIST AC-2,"Risk signal (Weak): SECURITY_RANSOMWARE affecting UNKNOWN in Cybersecurity. Evidence window: 2025-12-11 to 2025-12-11 across 1 source(s). Representative sources: Ransomware surge intensifies across industrial sectors, with manufacturing accounting for 72% of Q3 cases - Industrial Cyber"
fd762f16-c066-4027-9455-b1c176ef6bb4,2026-04-25,8,RISK-SECURITY_RANSOMWARE-UNKNOWN-B3810008,CL-000152,SECURITY_RANSOMWARE,UNKNOWN,Ransomware disrupts operations and recovery capabilities,Cyber,Cybersecurity,10,2,5,Weak,Medium,False,,Harden privileged access | Immutable backups + frequent restore testing,NIST IR-4; NIST CP-9; NIST AC-2,Risk signal (Weak): SECURITY_RANSOMWARE affecting UNKNOWN in Cybersecurity. Evidence window: 2026-03-10 to 2026-03-10 across 1 source(s). Representative sources: Expanding ransomware reach intensifies sector-wide cyber exposure - Insurance Business
fd762f16-c066-4027-9455-b1c176ef6bb4,2026-04-25,9,RISK-SECURITY_RANSOMWARE-UNKNOWN-4C1818DC,CL-000190,SECURITY_RANSOMWARE,UNKNOWN,Ransomware disrupts operations and recovery capabilities,Cyber,Vendor Risk,10,2,5,Weak,Medium,False,,Harden privileged access | Immutable backups + frequent restore testing,NIST IR-4; NIST CP-9; NIST AC-2,Risk signal (Weak): SECURITY_RANSOMWARE affecting UNKNOWN in Vendor Risk. Evidence window: 2026-04-21 to 2026-04-21 across 1 source(s). Representative sources: Data breach: Citizens flags limited customer impact after vendor data incident amid ransomware claims - InvestmentNews
fd762f16-c066-4027-9455-b1c176ef6bb4,2026-04-25,10,RISK-SECURITY_RANSOMWARE-UNKNOWN-B3810008,CL-000054,SECURITY_RANSOMWARE,UNKNOWN,Ransomware disrupts operations and recovery capabilities,Cyber,Cybersecurity,10,2,5,Weak,Low,False,,Harden privileged access | Immutable backups + frequent restore testing,NIST IR-4; NIST CP-9; NIST AC-2,Risk signal (Weak): SECURITY_RANSOMWARE affecting UNKNOWN in Cybersecurity. Evidence window: 2025-10-10 to 2025-10-10 across 1 source(s). Representative sources: The Fight Against Ransomware Heats Up on the Factory Floor - Dark Reading
