report_run_id,report_date,rank,risk_id,cluster_id,event_type,primary_asset_or_service,title,risk_category,business_function,score_used,likelihood_used,impact_used,evidence_strength,confidence,internal_signals_used,internal_outage_refs,recommended_actions_top,framework_mapping,executive_summary
7b012f15-ae1c-4d9f-ae09-c55726d3b70c,2026-03-05,1,RISK-SECURITY_RANSOMWARE-UNKNOWN-B3810008,CL-000002,SECURITY_RANSOMWARE,UNKNOWN,Ransomware disrupts operations and recovery capabilities,Cyber,Cybersecurity,20,4,5,Strong,High,True,INC-0006,Harden privileged access | Immutable backups + frequent restore testing,NIST IR-4; NIST CP-9; NIST AC-2,Risk signal (Strong): SECURITY_RANSOMWARE affecting UNKNOWN in Cybersecurity. Evidence window: 2025-05-13 to 2025-05-13 across 3 source(s). Representative sources: How Interlock Ransomware Affects the Defense Industrial Base Supply Chain - Resecurity | How Interlock Ransomware Affects the Defense Industrial Base Supply Chain - Resecurity
7b012f15-ae1c-4d9f-ae09-c55726d3b70c,2026-03-05,2,RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,CL-000075,OUTAGE_CLOUD_REGION,cloud,Cloud region outage disrupts hosted workloads,Technology,Cloud Infrastructure,20,4,5,Medium,High,True,INC-0005,Implement multi-region failover for critical services | Run regional outage game days,NIST CP-10; NIST CP-2; ISO22301 8.4,Risk signal (Medium): OUTAGE_CLOUD_REGION affecting cloud in Cloud Infrastructure. Evidence window: 2025-10-21 to 2025-10-21 across 2 source(s). Representative sources: Amazon says AWS cloud service back to normal after outage disrupts businesses worldwide - Reuters | Amazon says AWS cloud service back to normal after outage disrupts businesses worldwide - Reuters
7b012f15-ae1c-4d9f-ae09-c55726d3b70c,2026-03-05,3,RISK-OUTAGE_IDENTITY-IAM-1AEE0632,CL-000004,OUTAGE_IDENTITY,IAM,Centralized identity/SSO outage disrupts workforce access,Technology,Identity & Access Management,15,3,5,Weak,High,True,INC-0001,Implement break-glass access for critical systems | Add synthetic login monitoring,NIST IA-2; NIST CP-2; ISO22301 8.4,Risk signal (Weak): OUTAGE_IDENTITY affecting IAM in Identity & Access Management. Evidence window: NaT to NaT across 1 source(s). Representative sources: Major Identity Provider Outage Disrupts Logistics Firms
7b012f15-ae1c-4d9f-ae09-c55726d3b70c,2026-03-05,4,RISK-OUTAGE_NETWORK-NETWORK-29A3FACF,CL-000007,OUTAGE_NETWORK,network,Network outage disrupts connectivity to critical services,Technology,Supplier Integration,15,3,5,Weak,High,True,INC-0003,Increase network redundancy | Improve failover testing,NIST CP-2; NIST SC-5; ISO22301 8.4,Risk signal (Weak): OUTAGE_NETWORK affecting network in Supplier Integration. Evidence window: NaT to NaT across 1 source(s). Representative sources: Frantic Friday: Network Outage Brings Delta's Detroit Hub To A Halt - Simple Flying | Frantic Friday: Network Outage Brings Delta's Detroit Hub To A Halt - Simple Flying
7b012f15-ae1c-4d9f-ae09-c55726d3b70c,2026-03-05,5,RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,CL-000009,OUTAGE_CLOUD_REGION,cloud,Cloud region outage disrupts hosted workloads,Technology,Cloud Infrastructure,15,3,5,Weak,High,True,INC-0005,Implement multi-region failover for critical services | Run regional outage game days,NIST CP-10; NIST CP-2; ISO22301 8.4,Risk signal (Weak): OUTAGE_CLOUD_REGION affecting cloud in Cloud Infrastructure. Evidence window: NaT to NaT across 1 source(s). Representative sources: AWS Middle East outage: a reminder not to rely on cloud as disaster recovery plan - Network World
7b012f15-ae1c-4d9f-ae09-c55726d3b70c,2026-03-05,6,RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,CL-000010,OUTAGE_CLOUD_REGION,cloud,Cloud region outage disrupts hosted workloads,Technology,Cloud Infrastructure,15,3,5,Weak,High,True,INC-0005,Implement multi-region failover for critical services | Run regional outage game days,NIST CP-10; NIST CP-2; ISO22301 8.4,Risk signal (Weak): OUTAGE_CLOUD_REGION affecting cloud in Cloud Infrastructure. Evidence window: NaT to NaT across 1 source(s). Representative sources: CIO Insight: Business Continuity Lessons From Anthropic Claude Outage - Cloud Wars | CIO Insight: Business Continuity Lessons From Anthropic Claude Outage - Cloud Wars
7b012f15-ae1c-4d9f-ae09-c55726d3b70c,2026-03-05,7,RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,CL-000014,OUTAGE_CLOUD_REGION,cloud,Cloud region outage disrupts hosted workloads,Technology,Cloud Infrastructure,15,3,5,Weak,High,True,INC-0005,Implement multi-region failover for critical services | Run regional outage game days,NIST CP-10; NIST CP-2; ISO22301 8.4,Risk signal (Weak): OUTAGE_CLOUD_REGION affecting cloud in Cloud Infrastructure. Evidence window: NaT to NaT across 1 source(s). Representative sources: Outage at Amazon cloud service unit causes major disruption - dw.com | Outage at Amazon cloud service unit causes major disruption - dw.com
7b012f15-ae1c-4d9f-ae09-c55726d3b70c,2026-03-05,8,RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,CL-000015,OUTAGE_CLOUD_REGION,cloud,Cloud region outage disrupts hosted workloads,Technology,Cloud Infrastructure,15,3,5,Weak,High,True,INC-0005,Implement multi-region failover for critical services | Run regional outage game days,NIST CP-10; NIST CP-2; ISO22301 8.4,Risk signal (Weak): OUTAGE_CLOUD_REGION affecting cloud in Cloud Infrastructure. Evidence window: NaT to NaT across 1 source(s). Representative sources: Amazon says AWS cloud service back to normal after outage disrupts businesses worldwide - Reuters | Amazon says AWS cloud service back to normal after outage disrupts businesses worldwide - Reuters
7b012f15-ae1c-4d9f-ae09-c55726d3b70c,2026-03-05,9,RISK-OUTAGE_IDENTITY-IDENTITY-18AA8247,CL-000016,OUTAGE_IDENTITY,identity,Centralized identity/SSO outage disrupts workforce access,Technology,Cloud Infrastructure,15,3,5,Weak,High,True,INC-0005,Implement break-glass access for critical systems | Add synthetic login monitoring,NIST IA-2; NIST CP-2; ISO22301 8.4,Risk signal (Weak): OUTAGE_IDENTITY affecting identity in Cloud Infrastructure. Evidence window: NaT to NaT across 1 source(s). Representative sources: Azure outage disrupts VMs and identity services for over 10 hours - InfoWorld | Azure outage disrupts VMs and identity services for over 10 hours - InfoWorld
7b012f15-ae1c-4d9f-ae09-c55726d3b70c,2026-03-05,10,RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,CL-000020,OUTAGE_CLOUD_REGION,cloud,Cloud region outage disrupts hosted workloads,Technology,Cloud Infrastructure,15,3,5,Weak,High,True,INC-0005,Implement multi-region failover for critical services | Run regional outage game days,NIST CP-10; NIST CP-2; ISO22301 8.4,Risk signal (Weak): OUTAGE_CLOUD_REGION affecting cloud in Cloud Infrastructure. Evidence window: NaT to NaT across 1 source(s). Representative sources: Amazon says AWS cloud service back to normal after outage disrupts businesses worldwide - Reuters | Amazon says AWS cloud service back to normal after outage disrupts businesses worldwide - Reuters
