report_run_id,report_date,rank,risk_id,cluster_id,event_type,primary_asset_or_service,title,risk_category,business_function,score_used,likelihood_used,impact_used,evidence_strength,confidence,internal_signals_used,internal_outage_refs,recommended_actions_top,framework_mapping,executive_summary
8b03fc4c-3187-4b84-a145-a21effff2fc4,2026-03-23,1,RISK-SECURITY_RANSOMWARE-UNKNOWN-B3810008,CL-000051,SECURITY_RANSOMWARE,UNKNOWN,Ransomware disrupts operations and recovery capabilities,Cyber,Cybersecurity,15,3,5,Weak,High,True,INC-0006,Harden privileged access | Immutable backups + frequent restore testing,NIST IR-4; NIST CP-9; NIST AC-2,"Risk signal (Weak): SECURITY_RANSOMWARE affecting UNKNOWN in Cybersecurity. Evidence window: 2025-10-08 to 2025-10-08 across 1 source(s). Representative sources: Asahi Group Holdings Ransomware Attack 2025: Digital Order System Disrupted, Nationwide Beer Shortage in Japan - Rescana"
8b03fc4c-3187-4b84-a145-a21effff2fc4,2026-03-23,2,RISK-OUTAGE_NETWORK-UNKNOWN-23D0B4A0,CL-000055,OUTAGE_NETWORK,UNKNOWN,Network outage disrupts connectivity to critical services,Technology,Network Infrastructure,15,3,5,Weak,High,True,INC-0004,Increase network redundancy | Improve failover testing,NIST CP-2; NIST SC-5; ISO22301 8.4,Risk signal (Weak): OUTAGE_NETWORK affecting UNKNOWN in Network Infrastructure. Evidence window: 2025-10-13 to 2025-10-13 across 1 source(s). Representative sources: Verizon Wireless Network Outage Affects a Number of U.S. Cities - Inside Towers
8b03fc4c-3187-4b84-a145-a21effff2fc4,2026-03-23,3,RISK-OUTAGE_CLOUD_REGION-UNKNOWN-9A9C76AD,CL-000072,OUTAGE_CLOUD_REGION,UNKNOWN,Cloud region outage disrupts hosted workloads,Technology,Cloud Infrastructure,15,3,5,Weak,High,True,INC-0005,Implement multi-region failover for critical services | Run regional outage game days,NIST CP-10; NIST CP-2; ISO22301 8.4,Risk signal (Weak): OUTAGE_CLOUD_REGION affecting UNKNOWN in Cloud Infrastructure. Evidence window: 2025-10-21 to 2025-10-21 across 1 source(s). Representative sources: Amazon says AWS cloud service back to normal after outage disrupts businesses worldwide - Reuters
8b03fc4c-3187-4b84-a145-a21effff2fc4,2026-03-23,4,RISK-OUTAGE_CLOUD_REGION-UNKNOWN-9A9C76AD,CL-000080,OUTAGE_CLOUD_REGION,UNKNOWN,Cloud region outage disrupts hosted workloads,Technology,Cloud Infrastructure,15,3,5,Weak,High,True,INC-0005,Implement multi-region failover for critical services | Run regional outage game days,NIST CP-10; NIST CP-2; ISO22301 8.4,Risk signal (Weak): OUTAGE_CLOUD_REGION affecting UNKNOWN in Cloud Infrastructure. Evidence window: 2025-10-29 to 2025-10-29 across 1 source(s). Representative sources: Microsoft Azure outage today: Technology company says it has deployed a fix for cloud service experiencing issues - ABC7 Los Angeles
8b03fc4c-3187-4b84-a145-a21effff2fc4,2026-03-23,5,RISK-SECURITY_RANSOMWARE-UNKNOWN-B3810008,CL-000107,SECURITY_RANSOMWARE,UNKNOWN,Ransomware disrupts operations and recovery capabilities,Cyber,Cybersecurity,15,3,5,Weak,High,True,INC-0006,Harden privileged access | Immutable backups + frequent restore testing,NIST IR-4; NIST CP-9; NIST AC-2,"Risk signal (Weak): SECURITY_RANSOMWARE affecting UNKNOWN in Cybersecurity. Evidence window: 2025-12-11 to 2025-12-11 across 1 source(s). Representative sources: Ransomware surge intensifies across industrial sectors, with manufacturing accounting for 72% of Q3 cases - Industrial Cyber"
8b03fc4c-3187-4b84-a145-a21effff2fc4,2026-03-23,6,RISK-SECURITY_RANSOMWARE-UNKNOWN-B3810008,CL-000121,SECURITY_RANSOMWARE,UNKNOWN,Ransomware disrupts operations and recovery capabilities,Cyber,Cybersecurity,15,3,5,Weak,High,True,INC-0006,Harden privileged access | Immutable backups + frequent restore testing,NIST IR-4; NIST CP-9; NIST AC-2,Risk signal (Weak): SECURITY_RANSOMWARE affecting UNKNOWN in Cybersecurity. Evidence window: 2026-01-16 to 2026-01-16 across 1 source(s). Representative sources: Ransomware Attacks and Supply Chain Threats in 2025 - Cyble
8b03fc4c-3187-4b84-a145-a21effff2fc4,2026-03-23,7,RISK-OUTAGE_NETWORK-UNKNOWN-23D0B4A0,CL-000125,OUTAGE_NETWORK,UNKNOWN,Network outage disrupts connectivity to critical services,Technology,Network Infrastructure,15,3,5,Weak,High,True,INC-0004,Increase network redundancy | Improve failover testing,NIST CP-2; NIST SC-5; ISO22301 8.4,Risk signal (Weak): OUTAGE_NETWORK affecting UNKNOWN in Network Infrastructure. Evidence window: 2026-01-20 to 2026-01-20 across 1 source(s). Representative sources: Verizon outage: Analysts and more weigh in - Fierce Network
8b03fc4c-3187-4b84-a145-a21effff2fc4,2026-03-23,8,RISK-OUTAGE_IDENTITY-UNKNOWN-69218E3B,CL-000132,OUTAGE_IDENTITY,UNKNOWN,Centralized identity/SSO outage disrupts workforce access,Technology,Identity & Access Management,15,3,5,Weak,High,True,INC-0001,Implement break-glass access for critical systems | Add synthetic login monitoring,NIST IA-2; NIST CP-2; ISO22301 8.4,Risk signal (Weak): OUTAGE_IDENTITY affecting UNKNOWN in Identity & Access Management. Evidence window: 2026-01-31 to 2026-01-31 across 1 source(s). Representative sources: ING Online Banking Outage: January 31 Login Issues Hit German Users - Meyka
8b03fc4c-3187-4b84-a145-a21effff2fc4,2026-03-23,9,RISK-OUTAGE_IDENTITY-UNKNOWN-24E347F0,CL-000135,OUTAGE_IDENTITY,UNKNOWN,Centralized identity/SSO outage disrupts workforce access,Technology,Cloud Infrastructure,15,3,5,Weak,High,True,INC-0005,Implement break-glass access for critical systems | Add synthetic login monitoring,NIST IA-2; NIST CP-2; ISO22301 8.4,Risk signal (Weak): OUTAGE_IDENTITY affecting UNKNOWN in Cloud Infrastructure. Evidence window: 2026-02-04 to 2026-02-04 across 1 source(s). Representative sources: Azure outage disrupts VMs and identity services for over 10 hours - Network World
8b03fc4c-3187-4b84-a145-a21effff2fc4,2026-03-23,10,RISK-SECURITY_RANSOMWARE-UNKNOWN-B3810008,CL-000172,SECURITY_RANSOMWARE,UNKNOWN,Ransomware disrupts operations and recovery capabilities,Cyber,Cybersecurity,15,3,5,Weak,High,True,INC-0006,Harden privileged access | Immutable backups + frequent restore testing,NIST IR-4; NIST CP-9; NIST AC-2,Risk signal (Weak): SECURITY_RANSOMWARE affecting UNKNOWN in Cybersecurity. Evidence window: 2026-03-10 to 2026-03-10 across 1 source(s). Representative sources: Expanding ransomware reach intensifies sector-wide cyber exposure - Insurance Business
