report_run_id,report_date,rank,risk_id,cluster_id,event_type,primary_asset_or_service,title,risk_category,business_function,score_used,likelihood_used,impact_used,evidence_strength,confidence,internal_signals_used,internal_outage_refs,recommended_actions_top,framework_mapping,executive_summary
5d82eeb4-d346-4c3d-b5d8-e5c78b86bbd6,2026-04-08,1,RISK-SECURITY_RANSOMWARE-SYSTEMS-86771980,CL-000061,SECURITY_RANSOMWARE,systems,Ransomware disrupts operations and recovery capabilities,Cyber,Cybersecurity,20,4,5,Weak,High,True,INC-0006,Harden privileged access | Immutable backups + frequent restore testing,NIST IR-4; NIST CP-9; NIST AC-2,"Risk signal (Weak): SECURITY_RANSOMWARE affecting systems in Cybersecurity. Evidence window: 2025-10-08 to 2025-10-08 across 1 source(s). Representative sources: Asahi Group Holdings Ransomware Attack 2025: Digital Order System Disrupted, Nationwide Beer Shortage in Japan - Rescana"
5d82eeb4-d346-4c3d-b5d8-e5c78b86bbd6,2026-04-08,2,RISK-OUTAGE_CLOUD_REGION-CLOUD-A6F509E2,CL-000074,OUTAGE_CLOUD_REGION,cloud,Cloud region outage disrupts hosted workloads,Technology,Order Processing,16,4,4,Weak,High,True,INC-0002,Implement multi-region failover for critical services | Run regional outage game days,NIST CP-10; NIST CP-2; ISO22301 8.4,Risk signal (Weak): OUTAGE_CLOUD_REGION affecting cloud in Order Processing. Evidence window: 2025-10-21 to 2025-10-21 across 1 source(s). Representative sources: AWS October 2025 Outage: What Financial Executives Must Learn About Cloud Risk Management - Financial Executives International
5d82eeb4-d346-4c3d-b5d8-e5c78b86bbd6,2026-04-08,3,RISK-OUTAGE_NETWORK-NETWORK-ED8652FB,CL-000064,OUTAGE_NETWORK,network,Network outage disrupts connectivity to critical services,Technology,Network Infrastructure,15,3,5,Weak,High,True,INC-0004,Increase network redundancy | Improve failover testing,NIST CP-2; NIST SC-5; ISO22301 8.4,Risk signal (Weak): OUTAGE_NETWORK affecting network in Network Infrastructure. Evidence window: 2025-10-13 to 2025-10-13 across 1 source(s). Representative sources: Verizon Wireless Network Outage Affects a Number of U.S. Cities - Inside Towers
5d82eeb4-d346-4c3d-b5d8-e5c78b86bbd6,2026-04-08,4,RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,CL-000075,OUTAGE_CLOUD_REGION,cloud,Cloud region outage disrupts hosted workloads,Technology,Cloud Infrastructure,15,3,5,Weak,High,True,INC-0005,Implement multi-region failover for critical services | Run regional outage game days,NIST CP-10; NIST CP-2; ISO22301 8.4,Risk signal (Weak): OUTAGE_CLOUD_REGION affecting cloud in Cloud Infrastructure. Evidence window: 2025-10-21 to 2025-10-21 across 1 source(s). Representative sources: Amazon says AWS cloud service back to normal after outage disrupts businesses worldwide - Reuters
5d82eeb4-d346-4c3d-b5d8-e5c78b86bbd6,2026-04-08,5,RISK-OUTAGE_NETWORK-NETWORK-29A3FACF,CL-000102,OUTAGE_NETWORK,network,Network outage disrupts connectivity to critical services,Technology,Supplier Integration,15,3,5,Weak,High,True,INC-0003,Increase network redundancy | Improve failover testing,NIST CP-2; NIST SC-5; ISO22301 8.4,Risk signal (Weak): OUTAGE_NETWORK affecting network in Supplier Integration. Evidence window: 2025-12-05 to 2025-12-05 across 1 source(s). Representative sources: Frantic Friday: Network Outage Brings Delta's Detroit Hub To A Halt - Simple Flying
5d82eeb4-d346-4c3d-b5d8-e5c78b86bbd6,2026-04-08,6,RISK-SECURITY_RANSOMWARE-UNKNOWN-B3810008,CL-000109,SECURITY_RANSOMWARE,UNKNOWN,Ransomware disrupts operations and recovery capabilities,Cyber,Cybersecurity,15,3,5,Weak,High,True,INC-0006,Harden privileged access | Immutable backups + frequent restore testing,NIST IR-4; NIST CP-9; NIST AC-2,"Risk signal (Weak): SECURITY_RANSOMWARE affecting UNKNOWN in Cybersecurity. Evidence window: 2025-12-11 to 2025-12-11 across 1 source(s). Representative sources: Ransomware surge intensifies across industrial sectors, with manufacturing accounting for 72% of Q3 cases - Industrial Cyber"
5d82eeb4-d346-4c3d-b5d8-e5c78b86bbd6,2026-04-08,7,RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,CL-000122,OUTAGE_CLOUD_REGION,cloud,Cloud region outage disrupts hosted workloads,Technology,Cloud Infrastructure,15,3,5,Weak,High,True,INC-0005,Implement multi-region failover for critical services | Run regional outage game days,NIST CP-10; NIST CP-2; ISO22301 8.4,Risk signal (Weak): OUTAGE_CLOUD_REGION affecting cloud in Cloud Infrastructure. Evidence window: 2026-01-14 to 2026-01-14 across 1 source(s). Representative sources: The Blast Radius Problem: What the 2025 AWS Outage Reveals About Healthcare’s Cloud Fragility - MedCity News
5d82eeb4-d346-4c3d-b5d8-e5c78b86bbd6,2026-04-08,8,RISK-OUTAGE_NETWORK-NETWORK-ED8652FB,CL-000130,OUTAGE_NETWORK,network,Network outage disrupts connectivity to critical services,Technology,Network Infrastructure,15,3,5,Weak,High,True,INC-0004,Increase network redundancy | Improve failover testing,NIST CP-2; NIST SC-5; ISO22301 8.4,Risk signal (Weak): OUTAGE_NETWORK affecting network in Network Infrastructure. Evidence window: 2026-01-20 to 2026-01-20 across 1 source(s). Representative sources: Verizon outage: Analysts and more weigh in - Fierce Network
5d82eeb4-d346-4c3d-b5d8-e5c78b86bbd6,2026-04-08,9,RISK-OUTAGE_NETWORK-NETWORK-ED8652FB,CL-000132,OUTAGE_NETWORK,network,Network outage disrupts connectivity to critical services,Technology,Network Infrastructure,15,3,5,Weak,High,True,INC-0004,Increase network redundancy | Improve failover testing,NIST CP-2; NIST SC-5; ISO22301 8.4,"Risk signal (Weak): OUTAGE_NETWORK affecting network in Network Infrastructure. Evidence window: 2026-01-21 to 2026-01-21 across 1 source(s). Representative sources: The Verizon outage reveals the end of five-nine network reliability, and it could happen again - PhoneArena"
5d82eeb4-d346-4c3d-b5d8-e5c78b86bbd6,2026-04-08,10,RISK-OUTAGE_IDENTITY-IDENTITY-18AA8247,CL-000142,OUTAGE_IDENTITY,identity,Centralized identity/SSO outage disrupts workforce access,Technology,Cloud Infrastructure,15,3,5,Weak,High,True,INC-0005,Implement break-glass access for critical systems | Add synthetic login monitoring,NIST IA-2; NIST CP-2; ISO22301 8.4,Risk signal (Weak): OUTAGE_IDENTITY affecting identity in Cloud Infrastructure. Evidence window: 2026-02-04 to 2026-02-04 across 1 source(s). Representative sources: Azure outage disrupts VMs and identity services for over 10 hours - Network World
5d82eeb4-d346-4c3d-b5d8-e5c78b86bbd6,2026-04-08,11,RISK-OUTAGE_APPLICATION-APPLICATIONS-2C0420ED,CL-000157,OUTAGE_APPLICATION,applications,Critical application outage disrupts business operations,Technology,Identity & Access Management,15,3,5,Weak,High,True,INC-0001,Add high-availability design or failover | Improve monitoring and alerting,NIST CP-2; NIST CP-10; ISO22301 8.4,Risk signal (Weak): OUTAGE_APPLICATION affecting applications in Identity & Access Management. Evidence window: 2026-03-02 to 2026-03-02 across 1 source(s). Representative sources: Anthropic Claude Outage: Critical Service Disruption Hits Thousands of AI Users Amid Political Tensions - MEXC
5d82eeb4-d346-4c3d-b5d8-e5c78b86bbd6,2026-04-08,12,RISK-SECURITY_RANSOMWARE-UNKNOWN-B3810008,CL-000169,SECURITY_RANSOMWARE,UNKNOWN,Ransomware disrupts operations and recovery capabilities,Cyber,Cybersecurity,15,3,5,Weak,High,True,INC-0006,Harden privileged access | Immutable backups + frequent restore testing,NIST IR-4; NIST CP-9; NIST AC-2,Risk signal (Weak): SECURITY_RANSOMWARE affecting UNKNOWN in Cybersecurity. Evidence window: 2026-03-10 to 2026-03-10 across 1 source(s). Representative sources: Expanding ransomware reach intensifies sector-wide cyber exposure - Insurance Business
5d82eeb4-d346-4c3d-b5d8-e5c78b86bbd6,2026-04-08,13,RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,CL-000172,OUTAGE_CLOUD_REGION,cloud,Cloud region outage disrupts hosted workloads,Technology,Cloud Infrastructure,15,3,5,Weak,High,True,INC-0005,Implement multi-region failover for critical services | Run regional outage game days,NIST CP-10; NIST CP-2; ISO22301 8.4,Risk signal (Weak): OUTAGE_CLOUD_REGION affecting cloud in Cloud Infrastructure. Evidence window: 2026-03-11 to 2026-03-11 across 1 source(s). Representative sources: $16 Billion Lost in One Outage: Why Centralized Cloud Infrastructure Is Killing Global Enterprise Productivity - Modern Ghana
5d82eeb4-d346-4c3d-b5d8-e5c78b86bbd6,2026-04-08,14,RISK-OUTAGE_NETWORK-NETWORK-C79A7C5B,CL-000212,OUTAGE_NETWORK,network,Network outage disrupts connectivity to critical services,Technology,Cloud Infrastructure,15,3,5,Weak,High,True,INC-0005,Increase network redundancy | Improve failover testing,NIST CP-2; NIST SC-5; ISO22301 8.4,Risk signal (Weak): OUTAGE_NETWORK affecting network in Cloud Infrastructure. Evidence window: 2026-04-07 to 2026-04-07 across 1 source(s). Representative sources: 2026 network outage report and internet health check - Network World
5d82eeb4-d346-4c3d-b5d8-e5c78b86bbd6,2026-04-08,15,RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,CL-000213,OUTAGE_CLOUD_REGION,cloud,Cloud region outage disrupts hosted workloads,Technology,Cloud Infrastructure,15,3,5,Weak,High,True,INC-0005,Implement multi-region failover for critical services | Run regional outage game days,NIST CP-10; NIST CP-2; ISO22301 8.4,Risk signal (Weak): OUTAGE_CLOUD_REGION affecting cloud in Cloud Infrastructure. Evidence window: 2026-04-07 to 2026-04-07 across 1 source(s). Representative sources: Cloud outage risk stayed high despite drop in critical downtime - Beinsure
5d82eeb4-d346-4c3d-b5d8-e5c78b86bbd6,2026-04-08,16,RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,CL-000216,OUTAGE_CLOUD_REGION,cloud,Cloud region outage disrupts hosted workloads,Technology,Cloud Infrastructure,15,3,5,Weak,High,True,INC-0005,Implement multi-region failover for critical services | Run regional outage game days,NIST CP-10; NIST CP-2; ISO22301 8.4,Risk signal (Weak): OUTAGE_CLOUD_REGION affecting cloud in Cloud Infrastructure. Evidence window: 2026-04-08 to 2026-04-08 across 1 source(s). Representative sources: Parametrix places $35m cloud outage cat bond for Hannover Re - Reinsurance News
5d82eeb4-d346-4c3d-b5d8-e5c78b86bbd6,2026-04-08,17,RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,CL-000217,OUTAGE_CLOUD_REGION,cloud,Cloud region outage disrupts hosted workloads,Technology,Cloud Infrastructure,15,3,5,Weak,High,True,INC-0005,Implement multi-region failover for critical services | Run regional outage game days,NIST CP-10; NIST CP-2; ISO22301 8.4,Risk signal (Weak): OUTAGE_CLOUD_REGION affecting cloud in Cloud Infrastructure. Evidence window: 2026-04-08 to 2026-04-08 across 1 source(s). Representative sources: Parametrix delighted by investor support for Hannover Re parametric cloud outage cat bond: Haran - Artemis.bm
5d82eeb4-d346-4c3d-b5d8-e5c78b86bbd6,2026-04-08,18,RISK-OUTAGE_APPLICATION-APPLICATIONS-7886056C,CL-000012,OUTAGE_APPLICATION,applications,Critical application outage disrupts business operations,Technology,Network Infrastructure,15,3,5,Weak,Medium,True,INC-0004,Add high-availability design or failover | Improve monitoring and alerting,NIST CP-2; NIST CP-10; ISO22301 8.4,Risk signal (Weak): OUTAGE_APPLICATION affecting applications in Network Infrastructure. Evidence window: 2024-05-31 to 2024-05-31 across 1 source(s). Representative sources: Week’s Second London Data Center Outage Disrupts Connectivity - Data Center Knowledge
