week,event_type,asset,signal_count
2026-W14,CYBER_OPERATIONAL_DISRUPTION,UNKNOWN,10
2026-W14,CYBER_OPERATIONAL_DISRUPTION,systems,2
2026-W14,DESTRUCTIVE_CYBER_ATTACK,endpoints,2
2026-W14,DESTRUCTIVE_CYBER_ATTACK,systems,5
2026-W14,OUTAGE_APPLICATION,applications,49
2026-W14,OUTAGE_APPLICATION,cloud,1
2026-W14,OUTAGE_APPLICATION,endpoints,1
2026-W14,OUTAGE_APPLICATION,systems,3
2026-W14,OUTAGE_CLOUD_REGION,cloud,12
2026-W14,OUTAGE_CLOUD_REGION,region,1
2026-W14,OUTAGE_IDENTITY,identity,1
2026-W14,OUTAGE_NETWORK,network,8
2026-W14,SECURITY_BREACH,UNKNOWN,16
2026-W14,SECURITY_BREACH,systems,1
2026-W14,SECURITY_RANSOMWARE,UNKNOWN,6
2026-W14,SECURITY_RANSOMWARE,systems,1
2026-W14,UNKNOWN,UNKNOWN,77
2026-W14,UNKNOWN,availability,1
2026-W14,UNKNOWN,cloud,5
2026-W14,UNKNOWN,erp,2
2026-W14,UNKNOWN,login,2
2026-W14,UNKNOWN,network,3
2026-W14,UNKNOWN,region,1
2026-W14,UNKNOWN,systems,8
2026-W14,UNKNOWN,wms,1
