cluster_id,cluster_type,profile_ids,event_type,primary_asset_or_service,business_function,start_date,end_date,evidence_ids,evidence_count,anchor_evidence_id,anchor_source_type,evidence_strength,entity_summary,impact_keywords,cluster_summary,confidence_score,publishers,urls,last_updated
CL-000001,INCIDENT,SP-002,UNKNOWN,UNKNOWN,Order Processing,2017-03-25,2017-03-25,EV-F3FE3DC2FE,1,EV-F3FE3DC2FE,news,Weak,,,UNKNOWN affecting UNKNOWN in Order Processing.,0.5,Investopedia,https://news.google.com/rss/articles/CBMiaEFVX3lxTE42d3E2Y1dnSlN2TzB4SGttYzJKMHFBc2FqZGRvaVRwSy1LTHlNQ052cm5tYmdXSDYzMGxlT01QVGNsN0xkbWpmZU1UMXpHOVp2RFZtbnoxeERVejlKNTY2ODBjd2gwMGdy?oc=5,2026-04-08T19:05:55
CL-000002,INCIDENT,SP-002,UNKNOWN,UNKNOWN,Order Processing,2018-09-12,2018-09-12,EV-E93C63FE54,1,EV-E93C63FE54,news,Weak,,,UNKNOWN affecting UNKNOWN in Order Processing.,0.5,Investopedia,https://news.google.com/rss/articles/CBMingFBVV95cUxQd0d1TGRQQnNadFZjdHBORTg4M25lcnE1SVlscXFlNV9GT1dmS1JIWlFjZ0RCVG41M2lLOFZMVDB3WG9oZmFfaERySE1zVDNiTWh5V0NRaGlrNzd4VlBGOGZaQ2JETzQydWU2YkpxQnJOb2wzb0FIRDdmdVpBN2wxZWNjbWFBREdYTWhYcXlsT0ZUbEJMeExBOFpiZHpMdw?oc=5,2026-04-08T19:05:55
CL-000003,INCIDENT,SP-011,UNKNOWN,UNKNOWN,Compliance & Governance,2019-01-04,2019-01-04,EV-06C1594608,1,EV-06C1594608,news,Weak,,,UNKNOWN affecting UNKNOWN in Compliance & Governance.,0.5,Mintz,https://news.google.com/rss/articles/CBMiswFBVV95cUxQNVZXSW9lell0cXZYcVV4bHNvNVFiOVV0V3Z0ZmVfMlNFbXB1a1p5eXctcDVZRkgtaFZCaG5lWXJsSjNoMFo1S091clZWdTVjcFBWMXYxbElDclhiT0JzTm5fWjBZUUY4b0p5TDVmZnZicG9BaFcyQVJObDlBaUM1Z2ZhZXlUTFNQcjRFZ3F1cWFmcFNPZkNwbDU5VUJmSEtsSVFNbW1BaHh1Z3F2QjBLOE1HTQ?oc=5,2026-04-08T19:05:55
CL-000004,INCIDENT,SP-013,DESTRUCTIVE_CYBER_ATTACK,systems,Security Operations,2022-01-31,2022-01-31,EV-5D05C06EC2,1,EV-5D05C06EC2,news,Weak,,,DESTRUCTIVE_CYBER_ATTACK affecting systems in Security Operations.,0.5,CrowdStrike,https://news.google.com/rss/articles/CBMilwFBVV95cUxPZ3ZNM0VfZ2t4RDEwNXNnOHFINUpJeWEwaHZjRHhzcjZHYm5tdlFYbHJfX3BDUlFnWjNlNjNzcFBRMXRsWDRvRzhlZnQzaGEwZ0FpTTZXN0xiMXllTkh5QlJHSW1TR1hnTDlJeWpWcHZuN0hBaTdLUTFZRXVwS0RSSEE4WXA3STM4LWVRSy1ibExlWENIM0tV?oc=5,2026-04-08T19:05:55
CL-000005,INCIDENT,SP-013,DESTRUCTIVE_CYBER_ATTACK,systems,Security Operations,2022-03-16,2022-03-16,EV-7FB5018053,1,EV-7FB5018053,news,Weak,,,DESTRUCTIVE_CYBER_ATTACK affecting systems in Security Operations.,0.5,SOC Prime,https://news.google.com/rss/articles/CBMipwFBVV95cUxQUF83VUVkUFVtZllPdkFnWFMyazVQbVlNdUtma1JxWXRySmxQc2k5REE4QjgxUjluRUVYenBrX1QtcFFyTjByRDRQV2tsSjloelh6SUVqSzBjeHNLdElEWXV2THpLNGNwLTlSWkVtRXNYY2xxb1hhSlk2QUZfVG5HcXpOZVY0UUxnbVdjeFdReXBzVV81akFlVGtGUzJWUURkSUdqNTVqQQ?oc=5,2026-04-08T19:05:55
CL-000006,INCIDENT,SP-002,UNKNOWN,systems,Order Processing,2022-12-13,2022-12-13,EV-9B97BB0081,1,EV-9B97BB0081,news,Weak,,,UNKNOWN affecting systems in Order Processing.,0.5,Center for American Progress,https://news.google.com/rss/articles/CBMisgFBVV95cUxOdmhGZDNpclJXVFBCTjJVSnEyVlhWOEVIUmw1UHY5Uy1jbk5LSWgycEZSVkZsV0F5dm1waVZZcnZOdGlNREFNXzR3bW9qb0pkTDZpaGlvMm5sZEI1TEZxTUxxYjdQcWFLdHlGbUhZWS1VX0RsaGJoeGt2emJwT25WR0FvWHF0c2I2SGpBYkdzYThpSlZNSmdleDFYNE5nR2ZpZk5FSkxSN0kwYWFQbG5vWVBB?oc=5,2026-04-08T19:05:55
CL-000007,INCIDENT,SP-002,OUTAGE_CLOUD_REGION,cloud,Order Processing,2023-02-17,2023-02-17,EV-F3ADC70142,1,EV-F3ADC70142,news,Weak,,outage,OUTAGE_CLOUD_REGION affecting cloud in Order Processing.,0.6,Techzine Global,https://news.google.com/rss/articles/CBMinwFBVV95cUxPUFliS2Q0blEyWklPTm8xMk15OEdkbXRtYm1yWFotUHdLMkZVMTRZVUNfR0xKZkkyVktRbHpFZkpvWTRfVFVuTzFrVkNPc3FRbzlWUG5pSlhVUlJOUWNFbzhYdFBuVzZGMmFpVXgwYXNRRGd0Z2xCbzNRWmhaVnNScVdqbVg3T1RqZjlUSmFBYUdVV0NkdW02bmxhS2k0QWs?oc=5,2026-04-08T19:05:55
CL-000008,INCIDENT,SP-002,OUTAGE_CLOUD_REGION,cloud,Order Processing,2023-04-21,2023-04-21,EV-5ABF2755A5,1,EV-5ABF2755A5,news,Weak,,outage,OUTAGE_CLOUD_REGION affecting cloud in Order Processing.,0.6,ERP Today,https://news.google.com/rss/articles/CBMikAFBVV95cUxOS0JKZzZpVVlkYlFRd1RpVjZiNFdTTnNUQ1pkNjh6aTcwZWJfd1hTdzd0MGFIWGJoZGxwbHhpNjNUZWc4Y0VUc2NPVXRZcHFqakgtaFpkUGQ1VU9FbFBVVzFyQ1FrLUFVX1RlX2NWZFNSa2YzdFpQaWpmd29KSHJNUkJfM2hadUppQnREX2RoeUY?oc=5,2026-04-08T19:05:55
CL-000009,INCIDENT,SP-002,UNKNOWN,UNKNOWN,Order Processing,2023-11-16,2023-11-16,EV-9253C1B387,1,EV-9253C1B387,news,Weak,,,UNKNOWN affecting UNKNOWN in Order Processing.,0.5,army.mil,https://news.google.com/rss/articles/CBMiigFBVV95cUxOUnB2b0EwQ1lBZzVVSXp5RDhJbFFSOVhnc3VrZVJCZVBYbUFFajU2NnVlWkZ5N2pMamJZNFVZOHRNc1U1N2ZGMGVWTWlWZlY3bFdNTmQ1cnZQLUFsMmZLVHd0cmt4VE1Odkp1amdXVV9OTUoyYmE3S3hVR0xEYVdpWWZBS24wNWF3SlHSAY8BQVVfeXFMTnRKRE4xdDM5eVlQNzhpMVJ6Q3lmSlRsaDdqVGlfSGFOUnZWSFJuMzJ1RXpEQlNBSUhKQ1h0NC1UcHhFd0NPU1g3aFpjNGVKMzVyMmlhLTltaE1yYVRBQzExNExnazdvR1BsakVsNGI3WFg0QkY0SDdRT2NBN2JuNEpCY1RZQ241cEp0LWJoblE?oc=5,2026-04-08T19:05:55
CL-000010,INCIDENT,SP-001,UNKNOWN,UNKNOWN,Distribution Operations,2023-12-08,2023-12-08,EV-FBEB525C54,1,EV-FBEB525C54,news,Weak,,,UNKNOWN affecting UNKNOWN in Distribution Operations.,0.5,Indianapolis Business Journal,https://news.google.com/rss/articles/CBMihwFBVV95cUxNZHNLTFc3VnJKWVkwMnBqN0RqQjY3ZUZybm1rMTVJNmY4aV9CcjlqM2tib20wb3k2Q1k1c1B0X1NUaUNEd1Z4WFNybnBwNkpTSnRrbDNBNXZYODNreG1Ca1kxc0NkM3R5eTZJRks0WHBMcVlOZWZDX1pOc3FvTHRNUkN0a2twVGM?oc=5,2026-04-08T19:05:55
