report_run_id,report_date,rank,risk_id,cluster_id,event_type,primary_asset_or_service,title,risk_category,business_function,score_used,likelihood_used,impact_used,evidence_strength,confidence,internal_signals_used,internal_outage_refs,recommended_actions_top,framework_mapping,executive_summary
18ed922d-8968-412c-9576-194206bb8ae6,2026-04-28,1,RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,CL-000059,OUTAGE_CLOUD_REGION,cloud,Cloud region outage disrupts hosted workloads,Technology,Cloud Infrastructure,20,4,5,Medium,High,True,INC-0005,Implement multi-region failover for critical services | Run regional outage game days,NIST CP-10; NIST CP-2; ISO22301 8.4,Risk signal (Medium): OUTAGE_CLOUD_REGION affecting cloud in Cloud Infrastructure. Evidence window: 2025-10-20 to 2025-10-20 across 2 source(s). Representative sources: Massive Amazon cloud outage has been resolved after disrupting internet use worldwide - AP News | Massive Amazon cloud outage has been resolved after disrupting internet use worldwide - AP News
18ed922d-8968-412c-9576-194206bb8ae6,2026-04-28,2,RISK-SECURITY_RANSOMWARE-SYSTEMS-86771980,CL-000050,SECURITY_RANSOMWARE,systems,Ransomware disrupts operations and recovery capabilities,Cyber,Cybersecurity,20,4,5,Weak,High,True,INC-0006,Harden privileged access | Immutable backups + frequent restore testing,NIST IR-4; NIST CP-9; NIST AC-2,"Risk signal (Weak): SECURITY_RANSOMWARE affecting systems in Cybersecurity. Evidence window: 2025-10-08 to 2025-10-08 across 1 source(s). Representative sources: Asahi Group Holdings Ransomware Attack 2025: Digital Order System Disrupted, Nationwide Beer Shortage in Japan - Rescana"
18ed922d-8968-412c-9576-194206bb8ae6,2026-04-28,3,RISK-OUTAGE_IDENTITY-LOGIN-1EAC82FB,CL-000189,OUTAGE_IDENTITY,login,Centralized identity/SSO outage disrupts workforce access,Technology,Identity & Access Management,20,4,5,Weak,High,True,INC-0001,Implement break-glass access for critical systems | Add synthetic login monitoring,NIST IA-2; NIST CP-2; ISO22301 8.4,Risk signal (Weak): OUTAGE_IDENTITY affecting login in Identity & Access Management. Evidence window: 2026-04-21 to 2026-04-21 across 1 source(s). Representative sources: Yahoo Mail faces widespread outage as users reports login failures and access issues - Storyboard18
18ed922d-8968-412c-9576-194206bb8ae6,2026-04-28,4,RISK-OUTAGE_CLOUD_REGION-CLOUD-D84B5CE9,CL-000203,OUTAGE_CLOUD_REGION,cloud,Cloud region outage disrupts hosted workloads,Technology,Identity & Access Management,20,4,5,Weak,High,True,INC-0001,Implement multi-region failover for critical services | Run regional outage game days,NIST CP-10; NIST CP-2; ISO22301 8.4,"Risk signal (Weak): OUTAGE_CLOUD_REGION affecting cloud in Identity & Access Management. Evidence window: 2026-04-27 to 2026-04-27 across 1 source(s). Representative sources: Microsoft Outlook and Hotmail Outage, Enterprise Disruption and Cloud Reliability Risks - capitolskyline.com"
18ed922d-8968-412c-9576-194206bb8ae6,2026-04-28,5,RISK-OUTAGE_IDENTITY-LOGIN-1EAC82FB,CL-000206,OUTAGE_IDENTITY,login,Centralized identity/SSO outage disrupts workforce access,Technology,Identity & Access Management,20,4,5,Weak,High,True,INC-0001,Implement break-glass access for critical systems | Add synthetic login monitoring,NIST IA-2; NIST CP-2; ISO22301 8.4,Risk signal (Weak): OUTAGE_IDENTITY affecting login in Identity & Access Management. Evidence window: 2026-04-27 to 2026-04-27 across 1 source(s). Representative sources: Outlook login not working? What caused Microsoft Outlook outage today — and was it Hacked? - The Economic Times
18ed922d-8968-412c-9576-194206bb8ae6,2026-04-28,6,RISK-OUTAGE_IDENTITY-AUTHENTICATION-C4423542,CL-000207,OUTAGE_IDENTITY,authentication,Centralized identity/SSO outage disrupts workforce access,Technology,Identity & Access Management,20,4,5,Weak,High,True,INC-0001,Implement break-glass access for critical systems | Add synthetic login monitoring,NIST IA-2; NIST CP-2; ISO22301 8.4,Risk signal (Weak): OUTAGE_IDENTITY affecting authentication in Identity & Access Management. Evidence window: 2026-04-27 to 2026-04-27 across 1 source(s). Representative sources: Microsoft Investigates Outlook Authentication Glitch Amid Global Outage - AsatuNews.co.id
18ed922d-8968-412c-9576-194206bb8ae6,2026-04-28,7,RISK-SECURITY_RANSOMWARE-UNKNOWN-B3810008,CL-000027,SECURITY_RANSOMWARE,UNKNOWN,Ransomware disrupts operations and recovery capabilities,Cyber,Cybersecurity,15,3,5,Weak,High,True,INC-0006,Harden privileged access | Immutable backups + frequent restore testing,NIST IR-4; NIST CP-9; NIST AC-2,Risk signal (Weak): SECURITY_RANSOMWARE affecting UNKNOWN in Cybersecurity. Evidence window: 2025-07-21 to 2025-07-21 across 1 source(s). Representative sources: Ransomware Shuts Down 158-Year-Old UK Logistics Firm - Halcyon
18ed922d-8968-412c-9576-194206bb8ae6,2026-04-28,8,RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,CL-000065,OUTAGE_CLOUD_REGION,cloud,Cloud region outage disrupts hosted workloads,Technology,Cloud Infrastructure,15,3,5,Weak,High,True,INC-0005,Implement multi-region failover for critical services | Run regional outage game days,NIST CP-10; NIST CP-2; ISO22301 8.4,Risk signal (Weak): OUTAGE_CLOUD_REGION affecting cloud in Cloud Infrastructure. Evidence window: 2025-10-21 to 2025-10-21 across 1 source(s). Representative sources: Amazon says AWS cloud service back to normal after outage disrupts businesses worldwide - Reuters
18ed922d-8968-412c-9576-194206bb8ae6,2026-04-28,9,RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,CL-000070,OUTAGE_CLOUD_REGION,cloud,Cloud region outage disrupts hosted workloads,Technology,Cloud Infrastructure,15,3,5,Weak,High,True,INC-0005,Implement multi-region failover for critical services | Run regional outage game days,NIST CP-10; NIST CP-2; ISO22301 8.4,Risk signal (Weak): OUTAGE_CLOUD_REGION affecting cloud in Cloud Infrastructure. Evidence window: 2025-10-29 to 2025-10-29 across 1 source(s). Representative sources: Microsoft Azure outage today: Technology company says it has deployed a fix for cloud service experiencing issues - ABC7 Los Angeles
18ed922d-8968-412c-9576-194206bb8ae6,2026-04-28,10,RISK-OUTAGE_NETWORK-NETWORK-29A3FACF,CL-000087,OUTAGE_NETWORK,network,Network outage disrupts connectivity to critical services,Technology,Supplier Integration,15,3,5,Weak,High,True,INC-0003,Increase network redundancy | Improve failover testing,NIST CP-2; NIST SC-5; ISO22301 8.4,Risk signal (Weak): OUTAGE_NETWORK affecting network in Supplier Integration. Evidence window: 2025-12-05 to 2025-12-05 across 1 source(s). Representative sources: Frantic Friday: Network Outage Brings Delta's Detroit Hub To A Halt - Simple Flying
18ed922d-8968-412c-9576-194206bb8ae6,2026-04-28,11,RISK-SECURITY_RANSOMWARE-UNKNOWN-B3810008,CL-000092,SECURITY_RANSOMWARE,UNKNOWN,Ransomware disrupts operations and recovery capabilities,Cyber,Cybersecurity,15,3,5,Weak,High,True,INC-0006,Harden privileged access | Immutable backups + frequent restore testing,NIST IR-4; NIST CP-9; NIST AC-2,"Risk signal (Weak): SECURITY_RANSOMWARE affecting UNKNOWN in Cybersecurity. Evidence window: 2025-12-11 to 2025-12-11 across 1 source(s). Representative sources: Ransomware surge intensifies across industrial sectors, with manufacturing accounting for 72% of Q3 cases - Industrial Cyber"
18ed922d-8968-412c-9576-194206bb8ae6,2026-04-28,12,RISK-OUTAGE_NETWORK-NETWORK-ED8652FB,CL-000110,OUTAGE_NETWORK,network,Network outage disrupts connectivity to critical services,Technology,Network Infrastructure,15,3,5,Weak,High,True,INC-0004,Increase network redundancy | Improve failover testing,NIST CP-2; NIST SC-5; ISO22301 8.4,Risk signal (Weak): OUTAGE_NETWORK affecting network in Network Infrastructure. Evidence window: 2026-01-20 to 2026-01-20 across 1 source(s). Representative sources: Verizon outage: Analysts and more weigh in - Fierce Network
18ed922d-8968-412c-9576-194206bb8ae6,2026-04-28,13,RISK-OUTAGE_NETWORK-NETWORK-ED8652FB,CL-000111,OUTAGE_NETWORK,network,Network outage disrupts connectivity to critical services,Technology,Network Infrastructure,15,3,5,Weak,High,True,INC-0004,Increase network redundancy | Improve failover testing,NIST CP-2; NIST SC-5; ISO22301 8.4,"Risk signal (Weak): OUTAGE_NETWORK affecting network in Network Infrastructure. Evidence window: 2026-01-21 to 2026-01-21 across 1 source(s). Representative sources: The Verizon outage reveals the end of five-nine network reliability, and it could happen again - PhoneArena"
18ed922d-8968-412c-9576-194206bb8ae6,2026-04-28,14,RISK-OUTAGE_IDENTITY-IDENTITY-18AA8247,CL-000122,OUTAGE_IDENTITY,identity,Centralized identity/SSO outage disrupts workforce access,Technology,Cloud Infrastructure,15,3,5,Weak,High,True,INC-0005,Implement break-glass access for critical systems | Add synthetic login monitoring,NIST IA-2; NIST CP-2; ISO22301 8.4,Risk signal (Weak): OUTAGE_IDENTITY affecting identity in Cloud Infrastructure. Evidence window: 2026-02-04 to 2026-02-04 across 1 source(s). Representative sources: Azure outage disrupts VMs and identity services for over 10 hours - Network World
18ed922d-8968-412c-9576-194206bb8ae6,2026-04-28,15,RISK-SECURITY_RANSOMWARE-UNKNOWN-B3810008,CL-000149,SECURITY_RANSOMWARE,UNKNOWN,Ransomware disrupts operations and recovery capabilities,Cyber,Cybersecurity,15,3,5,Weak,High,True,INC-0006,Harden privileged access | Immutable backups + frequent restore testing,NIST IR-4; NIST CP-9; NIST AC-2,Risk signal (Weak): SECURITY_RANSOMWARE affecting UNKNOWN in Cybersecurity. Evidence window: 2026-03-10 to 2026-03-10 across 1 source(s). Representative sources: Expanding ransomware reach intensifies sector-wide cyber exposure - Insurance Business
18ed922d-8968-412c-9576-194206bb8ae6,2026-04-28,16,RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,CL-000177,OUTAGE_CLOUD_REGION,cloud,Cloud region outage disrupts hosted workloads,Technology,Cloud Infrastructure,15,3,5,Weak,High,True,INC-0005,Implement multi-region failover for critical services | Run regional outage game days,NIST CP-10; NIST CP-2; ISO22301 8.4,Risk signal (Weak): OUTAGE_CLOUD_REGION affecting cloud in Cloud Infrastructure. Evidence window: 2026-04-07 to 2026-04-07 across 1 source(s). Representative sources: Critical cloud outage risk remains significant despite decline in occurrence: Parametrix - Reinsurance News
18ed922d-8968-412c-9576-194206bb8ae6,2026-04-28,17,RISK-OUTAGE_NETWORK-NETWORK-C79A7C5B,CL-000210,OUTAGE_NETWORK,network,Network outage disrupts connectivity to critical services,Technology,Cloud Infrastructure,15,3,5,Weak,High,True,INC-0005,Increase network redundancy | Improve failover testing,NIST CP-2; NIST SC-5; ISO22301 8.4,Risk signal (Weak): OUTAGE_NETWORK affecting network in Cloud Infrastructure. Evidence window: 2026-04-28 to 2026-04-28 across 1 source(s). Representative sources: 2026 network outage report and internet health check - Network World | 2026 network outage report and internet health check - Network World
18ed922d-8968-412c-9576-194206bb8ae6,2026-04-28,18,RISK-OUTAGE_APPLICATION-APPLICATIONS-2C0420ED,CL-000015,OUTAGE_APPLICATION,applications,Critical application outage disrupts business operations,Technology,Identity & Access Management,15,3,5,Weak,Medium,True,INC-0001,Add high-availability design or failover | Improve monitoring and alerting,NIST CP-2; NIST CP-10; ISO22301 8.4,Risk signal (Weak): OUTAGE_APPLICATION affecting applications in Identity & Access Management. Evidence window: 2025-04-30 to 2025-04-30 across 1 source(s). Representative sources: Don’t blame renewables for Spain’s power outage - Reuters
18ed922d-8968-412c-9576-194206bb8ae6,2026-04-28,19,RISK-OUTAGE_APPLICATION-APPLICATIONS-3B65C7AF,CL-000021,OUTAGE_APPLICATION,applications,Critical application outage disrupts business operations,Technology,Cloud Infrastructure,15,3,5,Weak,Medium,True,INC-0005,Add high-availability design or failover | Improve monitoring and alerting,NIST CP-2; NIST CP-10; ISO22301 8.4,"Risk signal (Weak): OUTAGE_APPLICATION affecting applications in Cloud Infrastructure. Evidence window: 2025-06-12 to 2025-06-12 across 1 source(s). Representative sources: Cloudflare service outage June 12, 2025 - The Cloudflare Blog"
18ed922d-8968-412c-9576-194206bb8ae6,2026-04-28,20,RISK-OUTAGE_APPLICATION-APPLICATIONS-A3946B09,CL-000025,OUTAGE_APPLICATION,applications,Critical application outage disrupts business operations,Technology,Supplier Integration,15,3,5,Weak,Medium,True,INC-0003,Add high-availability design or failover | Improve monitoring and alerting,NIST CP-2; NIST CP-10; ISO22301 8.4,Risk signal (Weak): OUTAGE_APPLICATION affecting applications in Supplier Integration. Evidence window: 2025-07-04 to 2025-07-04 across 1 source(s). Representative sources: Prague at standstill after huge power outage hits the Czech Republic - AOL.com
