week,event_type,asset,signal_count
2026-W17,CYBER_OPERATIONAL_DISRUPTION,UNKNOWN,7
2026-W17,DESTRUCTIVE_CYBER_ATTACK,endpoints,3
2026-W17,DESTRUCTIVE_CYBER_ATTACK,systems,9
2026-W17,INTEGRATION_FAILURE,api,4
2026-W17,OUTAGE_APPLICATION,applications,46
2026-W17,OUTAGE_APPLICATION,cloud,1
2026-W17,OUTAGE_APPLICATION,erp,1
2026-W17,OUTAGE_APPLICATION,systems,3
2026-W17,OUTAGE_CLOUD_REGION,cloud,11
2026-W17,OUTAGE_CLOUD_REGION,region,1
2026-W17,OUTAGE_IDENTITY,authentication,1
2026-W17,OUTAGE_IDENTITY,identity,1
2026-W17,OUTAGE_IDENTITY,login,2
2026-W17,OUTAGE_NETWORK,dns,1
2026-W17,OUTAGE_NETWORK,network,7
2026-W17,REGULATORY_ENFORCEMENT,UNKNOWN,3
2026-W17,SECURITY_BREACH,UNKNOWN,17
2026-W17,SECURITY_BREACH,systems,1
2026-W17,SECURITY_RANSOMWARE,UNKNOWN,7
2026-W17,SECURITY_RANSOMWARE,systems,2
2026-W17,UNKNOWN,UNKNOWN,63
2026-W17,UNKNOWN,cloud,6
2026-W17,UNKNOWN,erp,3
2026-W17,UNKNOWN,login,1
2026-W17,UNKNOWN,network,2
2026-W17,UNKNOWN,systems,10
2026-W17,UNKNOWN,wms,1
