risk_id,event_type,asset,business_function,confidence,likelihood,impact,risk_score,evidence_strength
RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,OUTAGE_CLOUD_REGION,cloud,Cloud Infrastructure,High,4.0,5.0,20.0,Medium
RISK-OUTAGE_APPLICATION-APPLICATIONS-3B65C7AF,OUTAGE_APPLICATION,applications,Cloud Infrastructure,High,4.0,5.0,20.0,Medium
RISK-SECURITY_RANSOMWARE-SYSTEMS-86771980,SECURITY_RANSOMWARE,systems,Cybersecurity,High,4.0,5.0,20.0,Weak
RISK-OUTAGE_IDENTITY-LOGIN-1EAC82FB,OUTAGE_IDENTITY,login,Identity & Access Management,High,4.0,5.0,20.0,Weak
RISK-OUTAGE_CLOUD_REGION-CLOUD-D84B5CE9,OUTAGE_CLOUD_REGION,cloud,Identity & Access Management,High,4.0,5.0,20.0,Weak
RISK-OUTAGE_IDENTITY-LOGIN-1EAC82FB,OUTAGE_IDENTITY,login,Identity & Access Management,High,4.0,5.0,20.0,Weak
RISK-OUTAGE_IDENTITY-AUTHENTICATION-C4423542,OUTAGE_IDENTITY,authentication,Identity & Access Management,High,4.0,5.0,20.0,Weak
RISK-SECURITY_RANSOMWARE-UNKNOWN-B3810008,SECURITY_RANSOMWARE,UNKNOWN,Cybersecurity,High,3.0,5.0,15.0,Weak
RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,OUTAGE_CLOUD_REGION,cloud,Cloud Infrastructure,High,3.0,5.0,15.0,Weak
RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,OUTAGE_CLOUD_REGION,cloud,Cloud Infrastructure,High,3.0,5.0,15.0,Weak
RISK-OUTAGE_NETWORK-NETWORK-29A3FACF,OUTAGE_NETWORK,network,Supplier Integration,High,3.0,5.0,15.0,Weak
RISK-SECURITY_RANSOMWARE-UNKNOWN-B3810008,SECURITY_RANSOMWARE,UNKNOWN,Cybersecurity,High,3.0,5.0,15.0,Weak
